path_seg_A,path_original_A,path_inpaint_B,path_original_B,num_files_A,num_files_B,label_A,label_B,yt_id_A,time_start_A,time_end_A,yt_id_B,time_start_B,time_end_B,action_swap_path,hasPerson,segmented_path,bboxes_info,bbox_vis_path,mask_path
/n/fs/visualai-scr/Data/HAT2/seg/walking the dog/lcrknfBv_wI_000003_000013,/n/fs/visualai-scr/Data/HAT2/original/walking the dog/lcrknfBv_wI_000003_000013,/n/fs/visualai-scr/Data/HAT2/inpaint/punching person (boxing)/TPZkjJgcHZg_000032_000042,/n/fs/visualai-scr/Data/HAT2/original/punching person (boxing)/TPZkjJgcHZg_000032_000042,300,300,walking the dog,punching person (boxing),lcrknfBv_wI,3,13,TPZkjJgcHZg,32,42,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_001380_walking the dog_to_punching person (boxing)_lcrknfBv_wI_000003_000013_bg_TPZkjJgcHZg_000032_000042,False,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/new_segmented_action_swap/sample_001380_walking the dog_to_punching person (boxing)_lcrknfBv_wI_000003_000013_bg_TPZkjJgcHZg_000032_000042,"[{'class': 'bench', 'confidence': 0.2915923595428467, 'bbox': [1048.7528076171875, 278.2093505859375, 1279.4300537109375, 555.1456298828125]}]",/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/new_segmented_action_swap/sample_001380_walking the dog_to_punching person (boxing)_lcrknfBv_wI_000003_000013_bg_TPZkjJgcHZg_000032_000042/bbox_img/bbox_image.jpg,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/new_binarymask_action_swap/sample_001380_walking the dog_to_punching person (boxing)_lcrknfBv_wI_000003_000013_bg_TPZkjJgcHZg_000032_000042
/n/fs/visualai-scr/Data/HAT2/seg/cleaning windows/8ciou4_tgD8_000016_000026,/n/fs/visualai-scr/Data/HAT2/original/cleaning windows/8ciou4_tgD8_000016_000026,/n/fs/visualai-scr/Data/HAT2/inpaint/playing volleyball/6IPue5yWpJo_000159_000169,/n/fs/visualai-scr/Data/HAT2/original/playing volleyball/6IPue5yWpJo_000159_000169,300,300,cleaning windows,playing volleyball,8ciou4_tgD8,16,26,6IPue5yWpJo,159,169,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_001400_cleaning windows_to_playing volleyball_8ciou4_tgD8_000016_000026_bg_6IPue5yWpJo_000159_000169,False,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/new_segmented_action_swap/sample_001400_cleaning windows_to_playing volleyball_8ciou4_tgD8_000016_000026_bg_6IPue5yWpJo_000159_000169,"[{'class': 'tv', 'confidence': 0.507021427154541, 'bbox': [32.9293212890625, 0.0, 1277.3760986328125, 720.0]}, {'class': 'traffic light', 'confidence': 0.4993436634540558, 'bbox': [1185.50244140625, 334.5615234375, 1225.4169921875, 485.12603759765625]}, {'class': 'dog', 'confidence': 0.2866647243499756, 'bbox': [496.3055114746094, 135.47271728515625, 674.7698974609375, 450.5701904296875]}]",/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/new_segmented_action_swap/sample_001400_cleaning windows_to_playing volleyball_8ciou4_tgD8_000016_000026_bg_6IPue5yWpJo_000159_000169/bbox_img/bbox_image.jpg,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/new_binarymask_action_swap/sample_001400_cleaning windows_to_playing volleyball_8ciou4_tgD8_000016_000026_bg_6IPue5yWpJo_000159_000169
/n/fs/visualai-scr/Data/HAT2/seg/shooting goal (soccer)/IylnYlhxmZk_000046_000056,/n/fs/visualai-scr/Data/HAT2/original/shooting goal (soccer)/IylnYlhxmZk_000046_000056,/n/fs/visualai-scr/Data/HAT2/inpaint/reading newspaper/uPnEZd6wCtk_000006_000016,/n/fs/visualai-scr/Data/HAT2/original/reading newspaper/uPnEZd6wCtk_000006_000016,300,300,shooting goal (soccer),reading newspaper,IylnYlhxmZk,46,56,uPnEZd6wCtk,6,16,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_001404_shooting goal (soccer)_to_reading newspaper_IylnYlhxmZk_000046_000056_bg_uPnEZd6wCtk_000006_000016,False,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/new_segmented_action_swap/sample_001404_shooting goal (soccer)_to_reading newspaper_IylnYlhxmZk_000046_000056_bg_uPnEZd6wCtk_000006_000016,"[{'class': 'book', 'confidence': 0.8575960397720337, 'bbox': [224.37918090820312, 161.7623291015625, 907.97216796875, 649.3907470703125]}]",/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/new_segmented_action_swap/sample_001404_shooting goal (soccer)_to_reading newspaper_IylnYlhxmZk_000046_000056_bg_uPnEZd6wCtk_000006_000016/bbox_img/bbox_image.jpg,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/new_binarymask_action_swap/sample_001404_shooting goal (soccer)_to_reading newspaper_IylnYlhxmZk_000046_000056_bg_uPnEZd6wCtk_000006_000016
/n/fs/visualai-scr/Data/HAT2/seg/canoeing or kayaking/0V61r7VFl9E_000179_000189,/n/fs/visualai-scr/Data/HAT2/original/canoeing or kayaking/0V61r7VFl9E_000179_000189,/n/fs/visualai-scr/Data/HAT2/inpaint/smoking/B8WPXlVXb6Q_000022_000032,/n/fs/visualai-scr/Data/HAT2/original/smoking/B8WPXlVXb6Q_000022_000032,300,300,canoeing or kayaking,smoking,0V61r7VFl9E,179,189,B8WPXlVXb6Q,22,32,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_001408_canoeing or kayaking_to_smoking_0V61r7VFl9E_000179_000189_bg_B8WPXlVXb6Q_000022_000032,False,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/new_segmented_action_swap/sample_001408_canoeing or kayaking_to_smoking_0V61r7VFl9E_000179_000189_bg_B8WPXlVXb6Q_000022_000032,"[{'class': 'car', 'confidence': 0.7418901324272156, 'bbox': [89.0908203125, 79.0354995727539, 127.9002456665039, 118.24781799316406]}, {'class': 'car', 'confidence': 0.6912743449211121, 'bbox': [64.1319808959961, 86.86921691894531, 92.19326782226562, 106.65975952148438]}, {'class': 'bottle', 'confidence': 0.5713182091712952, 'bbox': [418.24896240234375, 236.94375610351562, 463.80047607421875, 298.0520935058594]}, {'class': 'car', 'confidence': 0.36090534925460815, 'bbox': [96.56497192382812, 12.669685363769531, 480.0, 297.9822998046875]}, {'class': 'car', 'confidence': 0.35100358724594116, 'bbox': [19.433656692504883, 89.8158187866211, 53.66849899291992, 108.47211456298828]}]",/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/new_segmented_action_swap/sample_001408_canoeing or kayaking_to_smoking_0V61r7VFl9E_000179_000189_bg_B8WPXlVXb6Q_000022_000032/bbox_img/bbox_image.jpg,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/new_binarymask_action_swap/sample_001408_canoeing or kayaking_to_smoking_0V61r7VFl9E_000179_000189_bg_B8WPXlVXb6Q_000022_000032
/n/fs/visualai-scr/Data/HAT2/seg/driving car/kNivGPu8oiw_000028_000038,/n/fs/visualai-scr/Data/HAT2/original/driving car/kNivGPu8oiw_000028_000038,/n/fs/visualai-scr/Data/HAT2/inpaint/eating ice cream/XGh8Q2nklzg_000003_000013,/n/fs/visualai-scr/Data/HAT2/original/eating ice cream/XGh8Q2nklzg_000003_000013,300,300,driving car,eating ice cream,kNivGPu8oiw,28,38,XGh8Q2nklzg,3,13,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_001412_driving car_to_eating ice cream_kNivGPu8oiw_000028_000038_bg_XGh8Q2nklzg_000003_000013,False,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/new_segmented_action_swap/sample_001412_driving car_to_eating ice cream_kNivGPu8oiw_000028_000038_bg_XGh8Q2nklzg_000003_000013,"[{'class': 'bowl', 'confidence': 0.44229090213775635, 'bbox': [337.80059814453125, 455.5315246582031, 782.4977416992188, 642.62353515625]}, {'class': 'cat', 'confidence': 0.4298154413700104, 'bbox': [427.525390625, 3.9581298828125, 1273.5103759765625, 701.9488525390625]}]",/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/new_segmented_action_swap/sample_001412_driving car_to_eating ice cream_kNivGPu8oiw_000028_000038_bg_XGh8Q2nklzg_000003_000013/bbox_img/bbox_image.jpg,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/new_binarymask_action_swap/sample_001412_driving car_to_eating ice cream_kNivGPu8oiw_000028_000038_bg_XGh8Q2nklzg_000003_000013
/n/fs/visualai-scr/Data/HAT2/seg/playing guitar/ViKaRM7aoy4_000262_000272,/n/fs/visualai-scr/Data/HAT2/original/playing guitar/ViKaRM7aoy4_000262_000272,/n/fs/visualai-scr/Data/HAT2/inpaint/driving car/plJH3_MfYzg_000396_000406,/n/fs/visualai-scr/Data/HAT2/original/driving car/plJH3_MfYzg_000396_000406,300,300,playing guitar,driving car,ViKaRM7aoy4,262,272,plJH3_MfYzg,396,406,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_001424_playing guitar_to_driving car_ViKaRM7aoy4_000262_000272_bg_plJH3_MfYzg_000396_000406,False,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/new_segmented_action_swap/sample_001424_playing guitar_to_driving car_ViKaRM7aoy4_000262_000272_bg_plJH3_MfYzg_000396_000406,[],/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/new_segmented_action_swap/sample_001424_playing guitar_to_driving car_ViKaRM7aoy4_000262_000272_bg_plJH3_MfYzg_000396_000406/bbox_img/bbox_image.jpg,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/new_binarymask_action_swap/sample_001424_playing guitar_to_driving car_ViKaRM7aoy4_000262_000272_bg_plJH3_MfYzg_000396_000406
/n/fs/visualai-scr/Data/HAT2/seg/playing basketball/dWoqP1eAIig_000003_000013,/n/fs/visualai-scr/Data/HAT2/original/playing basketball/dWoqP1eAIig_000003_000013,/n/fs/visualai-scr/Data/HAT2/inpaint/deadlifting/op_zoyTtfU4_000001_000011,/n/fs/visualai-scr/Data/HAT2/original/deadlifting/op_zoyTtfU4_000001_000011,67,300,playing basketball,deadlifting,dWoqP1eAIig,3,13,op_zoyTtfU4,1,11,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_001428_playing basketball_to_deadlifting_dWoqP1eAIig_000003_000013_bg_op_zoyTtfU4_000001_000011,False,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/new_segmented_action_swap/sample_001428_playing basketball_to_deadlifting_dWoqP1eAIig_000003_000013_bg_op_zoyTtfU4_000001_000011,"[{'class': 'chair', 'confidence': 0.578037440776825, 'bbox': [98.50101470947266, 305.8284912109375, 166.52847290039062, 360.0]}, {'class': 'dining table', 'confidence': 0.39021506905555725, 'bbox': [0.7038116455078125, 288.4183654785156, 168.534423828125, 359.6723937988281]}]",/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/new_segmented_action_swap/sample_001428_playing basketball_to_deadlifting_dWoqP1eAIig_000003_000013_bg_op_zoyTtfU4_000001_000011/bbox_img/bbox_image.jpg,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/new_binarymask_action_swap/sample_001428_playing basketball_to_deadlifting_dWoqP1eAIig_000003_000013_bg_op_zoyTtfU4_000001_000011
/n/fs/visualai-scr/Data/HAT2/seg/surfing water/WhFMDZt4u5s_000064_000074,/n/fs/visualai-scr/Data/HAT2/original/surfing water/WhFMDZt4u5s_000064_000074,/n/fs/visualai-scr/Data/HAT2/inpaint/reading book/4qVBgiGwi2c_000218_000228,/n/fs/visualai-scr/Data/HAT2/original/reading book/4qVBgiGwi2c_000218_000228,300,300,surfing water,reading book,WhFMDZt4u5s,64,74,4qVBgiGwi2c,218,228,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_001484_surfing water_to_reading book_WhFMDZt4u5s_000064_000074_bg_4qVBgiGwi2c_000218_000228,False,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/new_segmented_action_swap/sample_001484_surfing water_to_reading book_WhFMDZt4u5s_000064_000074_bg_4qVBgiGwi2c_000218_000228,"[{'class': 'bed', 'confidence': 0.27925238013267517, 'bbox': [26.7509765625, 2.5958251953125, 1275.957275390625, 707.5585327148438]}]",/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/new_segmented_action_swap/sample_001484_surfing water_to_reading book_WhFMDZt4u5s_000064_000074_bg_4qVBgiGwi2c_000218_000228/bbox_img/bbox_image.jpg,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/new_binarymask_action_swap/sample_001484_surfing water_to_reading book_WhFMDZt4u5s_000064_000074_bg_4qVBgiGwi2c_000218_000228
/n/fs/visualai-scr/Data/HAT2/seg/shooting goal (soccer)/XbdRgFKZfqo_000002_000012,/n/fs/visualai-scr/Data/HAT2/original/shooting goal (soccer)/XbdRgFKZfqo_000002_000012,/n/fs/visualai-scr/Data/HAT2/inpaint/reading book/o6dIjv5pOKc_000004_000014,/n/fs/visualai-scr/Data/HAT2/original/reading book/o6dIjv5pOKc_000004_000014,301,300,shooting goal (soccer),reading book,XbdRgFKZfqo,2,12,o6dIjv5pOKc,4,14,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_001488_shooting goal (soccer)_to_reading book_XbdRgFKZfqo_000002_000012_bg_o6dIjv5pOKc_000004_000014,False,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/new_segmented_action_swap/sample_001488_shooting goal (soccer)_to_reading book_XbdRgFKZfqo_000002_000012_bg_o6dIjv5pOKc_000004_000014,"[{'class': 'suitcase', 'confidence': 0.4427783787250519, 'bbox': [0.381195068359375, 0.2152099609375, 111.38885498046875, 183.74868774414062]}, {'class': 'dog', 'confidence': 0.26750850677490234, 'bbox': [52.820281982421875, 0.0, 319.1956787109375, 239.4307098388672]}]",/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/new_segmented_action_swap/sample_001488_shooting goal (soccer)_to_reading book_XbdRgFKZfqo_000002_000012_bg_o6dIjv5pOKc_000004_000014/bbox_img/bbox_image.jpg,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/new_binarymask_action_swap/sample_001488_shooting goal (soccer)_to_reading book_XbdRgFKZfqo_000002_000012_bg_o6dIjv5pOKc_000004_000014
/n/fs/visualai-scr/Data/HAT2/seg/surfing water/rN3oPdeazbA_000012_000022,/n/fs/visualai-scr/Data/HAT2/original/surfing water/rN3oPdeazbA_000012_000022,/n/fs/visualai-scr/Data/HAT2/inpaint/eating cake/ktK9w4n_zS0_000018_000028,/n/fs/visualai-scr/Data/HAT2/original/eating cake/ktK9w4n_zS0_000018_000028,300,300,surfing water,eating cake,rN3oPdeazbA,12,22,ktK9w4n_zS0,18,28,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_001508_surfing water_to_eating cake_rN3oPdeazbA_000012_000022_bg_ktK9w4n_zS0_000018_000028,False,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/new_segmented_action_swap/sample_001508_surfing water_to_eating cake_rN3oPdeazbA_000012_000022_bg_ktK9w4n_zS0_000018_000028,"[{'class': 'bear', 'confidence': 0.4749172627925873, 'bbox': [36.57469940185547, 16.152603149414062, 311.4305419921875, 268.16668701171875]}, {'class': 'dog', 'confidence': 0.31466740369796753, 'bbox': [80.37242889404297, 25.157249450683594, 312.13702392578125, 269.1022033691406]}, {'class': 'dog', 'confidence': 0.26153531670570374, 'bbox': [78.92639923095703, 44.070533752441406, 224.07379150390625, 209.4877166748047]}]",/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/new_segmented_action_swap/sample_001508_surfing water_to_eating cake_rN3oPdeazbA_000012_000022_bg_ktK9w4n_zS0_000018_000028/bbox_img/bbox_image.jpg,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/new_binarymask_action_swap/sample_001508_surfing water_to_eating cake_rN3oPdeazbA_000012_000022_bg_ktK9w4n_zS0_000018_000028
/n/fs/visualai-scr/Data/HAT2/seg/driving car/mM8A7RHUtlI_000064_000074,/n/fs/visualai-scr/Data/HAT2/original/driving car/mM8A7RHUtlI_000064_000074,/n/fs/visualai-scr/Data/HAT2/inpaint/punching person (boxing)/GfUWoo5NQxg_000010_000020,/n/fs/visualai-scr/Data/HAT2/original/punching person (boxing)/GfUWoo5NQxg_000010_000020,300,300,driving car,punching person (boxing),mM8A7RHUtlI,64,74,GfUWoo5NQxg,10,20,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_001512_driving car_to_punching person (boxing)_mM8A7RHUtlI_000064_000074_bg_GfUWoo5NQxg_000010_000020,False,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/new_segmented_action_swap/sample_001512_driving car_to_punching person (boxing)_mM8A7RHUtlI_000064_000074_bg_GfUWoo5NQxg_000010_000020,[],/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/new_segmented_action_swap/sample_001512_driving car_to_punching person (boxing)_mM8A7RHUtlI_000064_000074_bg_GfUWoo5NQxg_000010_000020/bbox_img/bbox_image.jpg,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/new_binarymask_action_swap/sample_001512_driving car_to_punching person (boxing)_mM8A7RHUtlI_000064_000074_bg_GfUWoo5NQxg_000010_000020
/n/fs/visualai-scr/Data/HAT2/seg/hurdling/SQc2ZVyJneo_000023_000033,/n/fs/visualai-scr/Data/HAT2/original/hurdling/SQc2ZVyJneo_000023_000033,/n/fs/visualai-scr/Data/HAT2/inpaint/surfing water/Xw4fT9C0koA_000176_000186,/n/fs/visualai-scr/Data/HAT2/original/surfing water/Xw4fT9C0koA_000176_000186,300,300,hurdling,surfing water,SQc2ZVyJneo,23,33,Xw4fT9C0koA,176,186,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_001536_hurdling_to_surfing water_SQc2ZVyJneo_000023_000033_bg_Xw4fT9C0koA_000176_000186,False,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/new_segmented_action_swap/sample_001536_hurdling_to_surfing water_SQc2ZVyJneo_000023_000033_bg_Xw4fT9C0koA_000176_000186,[],/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/new_segmented_action_swap/sample_001536_hurdling_to_surfing water_SQc2ZVyJneo_000023_000033_bg_Xw4fT9C0koA_000176_000186/bbox_img/bbox_image.jpg,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/new_binarymask_action_swap/sample_001536_hurdling_to_surfing water_SQc2ZVyJneo_000023_000033_bg_Xw4fT9C0koA_000176_000186
/n/fs/visualai-scr/Data/HAT2/seg/flying kite/SPqE12qW4bA_000067_000077,/n/fs/visualai-scr/Data/HAT2/original/flying kite/SPqE12qW4bA_000067_000077,/n/fs/visualai-scr/Data/HAT2/inpaint/tying tie/hvSrk8GIO-E_000113_000123,/n/fs/visualai-scr/Data/HAT2/original/tying tie/hvSrk8GIO-E_000113_000123,300,301,flying kite,tying tie,SPqE12qW4bA,67,77,hvSrk8GIO-E,113,123,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_001560_flying kite_to_tying tie_SPqE12qW4bA_000067_000077_bg_hvSrk8GIO-E_000113_000123,False,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/new_segmented_action_swap/sample_001560_flying kite_to_tying tie_SPqE12qW4bA_000067_000077_bg_hvSrk8GIO-E_000113_000123,[],/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/new_segmented_action_swap/sample_001560_flying kite_to_tying tie_SPqE12qW4bA_000067_000077_bg_hvSrk8GIO-E_000113_000123/bbox_img/bbox_image.jpg,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/new_binarymask_action_swap/sample_001560_flying kite_to_tying tie_SPqE12qW4bA_000067_000077_bg_hvSrk8GIO-E_000113_000123
/n/fs/visualai-scr/Data/HAT2/seg/playing violin/fYXb94-2Ako_000008_000018,/n/fs/visualai-scr/Data/HAT2/original/playing violin/fYXb94-2Ako_000008_000018,/n/fs/visualai-scr/Data/HAT2/inpaint/reading book/taZtEzvkg3M_000002_000012,/n/fs/visualai-scr/Data/HAT2/original/reading book/taZtEzvkg3M_000002_000012,300,300,playing violin,reading book,fYXb94-2Ako,8,18,taZtEzvkg3M,2,12,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_001572_playing violin_to_reading book_fYXb94-2Ako_000008_000018_bg_taZtEzvkg3M_000002_000012,False,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/new_segmented_action_swap/sample_001572_playing violin_to_reading book_fYXb94-2Ako_000008_000018_bg_taZtEzvkg3M_000002_000012,"[{'class': 'parking meter', 'confidence': 0.44939732551574707, 'bbox': [77.17523193359375, 1.2885650396347046, 344.08575439453125, 318.1634826660156]}]",/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/new_segmented_action_swap/sample_001572_playing violin_to_reading book_fYXb94-2Ako_000008_000018_bg_taZtEzvkg3M_000002_000012/bbox_img/bbox_image.jpg,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/new_binarymask_action_swap/sample_001572_playing violin_to_reading book_fYXb94-2Ako_000008_000018_bg_taZtEzvkg3M_000002_000012
/n/fs/visualai-scr/Data/HAT2/seg/walking the dog/klt-rafGwIc_000151_000161,/n/fs/visualai-scr/Data/HAT2/original/walking the dog/klt-rafGwIc_000151_000161,/n/fs/visualai-scr/Data/HAT2/inpaint/clean and jerk/gnh-Gzl8QKY_000044_000054,/n/fs/visualai-scr/Data/HAT2/original/clean and jerk/gnh-Gzl8QKY_000044_000054,300,245,walking the dog,clean and jerk,klt-rafGwIc,151,161,gnh-Gzl8QKY,44,54,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_001576_walking the dog_to_clean and jerk_klt-rafGwIc_000151_000161_bg_gnh-Gzl8QKY_000044_000054,False,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/new_segmented_action_swap/sample_001576_walking the dog_to_clean and jerk_klt-rafGwIc_000151_000161_bg_gnh-Gzl8QKY_000044_000054,[],/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/new_segmented_action_swap/sample_001576_walking the dog_to_clean and jerk_klt-rafGwIc_000151_000161_bg_gnh-Gzl8QKY_000044_000054/bbox_img/bbox_image.jpg,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/new_binarymask_action_swap/sample_001576_walking the dog_to_clean and jerk_klt-rafGwIc_000151_000161_bg_gnh-Gzl8QKY_000044_000054
/n/fs/visualai-scr/Data/HAT2/seg/driving car/5EUF1Xl3DFY_000010_000020,/n/fs/visualai-scr/Data/HAT2/original/driving car/5EUF1Xl3DFY_000010_000020,/n/fs/visualai-scr/Data/HAT2/inpaint/hurdling/HeHaCIdpRdo_000006_000016,/n/fs/visualai-scr/Data/HAT2/original/hurdling/HeHaCIdpRdo_000006_000016,300,178,driving car,hurdling,5EUF1Xl3DFY,10,20,HeHaCIdpRdo,6,16,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_001600_driving car_to_hurdling_5EUF1Xl3DFY_000010_000020_bg_HeHaCIdpRdo_000006_000016,False,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/new_segmented_action_swap/sample_001600_driving car_to_hurdling_5EUF1Xl3DFY_000010_000020_bg_HeHaCIdpRdo_000006_000016,[],/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/new_segmented_action_swap/sample_001600_driving car_to_hurdling_5EUF1Xl3DFY_000010_000020_bg_HeHaCIdpRdo_000006_000016/bbox_img/bbox_image.jpg,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/new_binarymask_action_swap/sample_001600_driving car_to_hurdling_5EUF1Xl3DFY_000010_000020_bg_HeHaCIdpRdo_000006_000016
/n/fs/visualai-scr/Data/HAT2/seg/playing guitar/LVIm4618JSI_000077_000087,/n/fs/visualai-scr/Data/HAT2/original/playing guitar/LVIm4618JSI_000077_000087,/n/fs/visualai-scr/Data/HAT2/inpaint/eating cake/U9u4nFJvVLI_000017_000027,/n/fs/visualai-scr/Data/HAT2/original/eating cake/U9u4nFJvVLI_000017_000027,302,300,playing guitar,eating cake,LVIm4618JSI,77,87,U9u4nFJvVLI,17,27,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_001616_playing guitar_to_eating cake_LVIm4618JSI_000077_000087_bg_U9u4nFJvVLI_000017_000027,False,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/new_segmented_action_swap/sample_001616_playing guitar_to_eating cake_LVIm4618JSI_000077_000087_bg_U9u4nFJvVLI_000017_000027,"[{'class': 'cup', 'confidence': 0.48002496361732483, 'bbox': [399.569091796875, 338.14678955078125, 479.6605224609375, 359.71868896484375]}]",/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/new_segmented_action_swap/sample_001616_playing guitar_to_eating cake_LVIm4618JSI_000077_000087_bg_U9u4nFJvVLI_000017_000027/bbox_img/bbox_image.jpg,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/new_binarymask_action_swap/sample_001616_playing guitar_to_eating cake_LVIm4618JSI_000077_000087_bg_U9u4nFJvVLI_000017_000027
