path_seg_A,path_original_A,path_inpaint_B,path_original_B,num_files_A,num_files_B,label_A,label_B,yt_id_A,time_start_A,time_end_A,yt_id_B,time_start_B,time_end_B,action_swap_path,hasPerson,segmented_path,bboxes_info,bbox_vis_path
/n/fs/visualai-scr/Data/HAT2/seg/climbing ladder/RXTooz-pBzY_000004_000014,/n/fs/visualai-scr/Data/HAT2/original/climbing ladder/RXTooz-pBzY_000004_000014,/n/fs/visualai-scr/Data/HAT2/inpaint/bowling/4JxH3S5JwMs_000003_000013,/n/fs/visualai-scr/Data/HAT2/original/bowling/4JxH3S5JwMs_000003_000013,300,300,climbing ladder,bowling,RXTooz-pBzY,4,14,4JxH3S5JwMs,3,13,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/sample_000406_climbing ladder_to_bowling_RXTooz-pBzY_000004_000014_bg_4JxH3S5JwMs_000003_000013,True,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/segmented_action_swap/sample_000406_climbing ladder_to_bowling_RXTooz-pBzY_4_14_bg_4JxH3S5JwMs_3_13,"[{'class': 'person', 'confidence': 0.5931833386421204, 'bbox': [10.158920288085938, 18.070724487304688, 155.4877471923828, 244.99647521972656]}, {'class': 'bus', 'confidence': 0.3408936858177185, 'bbox': [0.0, 18.312286376953125, 197.76214599609375, 357.71484375]}]",dataset/segmented_action_swap/sample_000406_climbing ladder_to_bowling_RXTooz-pBzY_4_14_bg_4JxH3S5JwMs_3_13/bbox_img/bbox_image.jpg
/n/fs/visualai-scr/Data/HAT2/seg/archery/k-BFTm62viE_000002_000012,/n/fs/visualai-scr/Data/HAT2/original/archery/k-BFTm62viE_000002_000012,/n/fs/visualai-scr/Data/HAT2/inpaint/playing bass guitar/yhg-IlXcVrE_000111_000121,/n/fs/visualai-scr/Data/HAT2/original/playing bass guitar/yhg-IlXcVrE_000111_000121,207,301,archery,playing bass guitar,k-BFTm62viE,2,12,yhg-IlXcVrE,111,121,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/sample_000407_archery_to_playing bass guitar_k-BFTm62viE_000002_000012_bg_yhg-IlXcVrE_000111_000121,True,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/segmented_action_swap/sample_000407_archery_to_playing bass guitar_k-BFTm62viE_2_12_bg_yhg-IlXcVrE_111_121,"[{'class': 'person', 'confidence': 0.9093432426452637, 'bbox': [413.6679382324219, 240.0704345703125, 909.628173828125, 714.159423828125]}]",dataset/segmented_action_swap/sample_000407_archery_to_playing bass guitar_k-BFTm62viE_2_12_bg_yhg-IlXcVrE_111_121/bbox_img/bbox_image.jpg
/n/fs/visualai-scr/Data/HAT2/seg/eating cake/X4Pj7_V1zBA_000216_000226,/n/fs/visualai-scr/Data/HAT2/original/eating cake/X4Pj7_V1zBA_000216_000226,/n/fs/visualai-scr/Data/HAT2/inpaint/canoeing or kayaking/FqCVQSDxOSs_000773_000783,/n/fs/visualai-scr/Data/HAT2/original/canoeing or kayaking/FqCVQSDxOSs_000773_000783,300,300,eating cake,canoeing or kayaking,X4Pj7_V1zBA,216,226,FqCVQSDxOSs,773,783,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/sample_000408_eating cake_to_canoeing or kayaking_X4Pj7_V1zBA_000216_000226_bg_FqCVQSDxOSs_000773_000783,True,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/segmented_action_swap/sample_000408_eating cake_to_canoeing or kayaking_X4Pj7_V1zBA_216_226_bg_FqCVQSDxOSs_773_783,"[{'class': 'person', 'confidence': 0.8433173298835754, 'bbox': [2.630126953125, 1.3080825805664062, 432.6481018066406, 358.4112548828125]}]",dataset/segmented_action_swap/sample_000408_eating cake_to_canoeing or kayaking_X4Pj7_V1zBA_216_226_bg_FqCVQSDxOSs_773_783/bbox_img/bbox_image.jpg
/n/fs/visualai-scr/Data/HAT2/seg/deadlifting/oyN6ldlYUD8_000032_000042,/n/fs/visualai-scr/Data/HAT2/original/deadlifting/oyN6ldlYUD8_000032_000042,/n/fs/visualai-scr/Data/HAT2/inpaint/punching person (boxing)/Cs-CfeLNspE_000126_000136,/n/fs/visualai-scr/Data/HAT2/original/punching person (boxing)/Cs-CfeLNspE_000126_000136,300,300,deadlifting,punching person (boxing),oyN6ldlYUD8,32,42,Cs-CfeLNspE,126,136,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/sample_000409_deadlifting_to_punching person (boxing)_oyN6ldlYUD8_000032_000042_bg_Cs-CfeLNspE_000126_000136,True,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/segmented_action_swap/sample_000409_deadlifting_to_punching person (boxing)_oyN6ldlYUD8_32_42_bg_Cs-CfeLNspE_126_136,"[{'class': 'person', 'confidence': 0.9265328645706177, 'bbox': [80.92195129394531, 303.2818603515625, 354.3496398925781, 582.4139404296875]}, {'class': 'person', 'confidence': 0.8645368814468384, 'bbox': [314.03033447265625, 196.18234252929688, 403.5267333984375, 323.01092529296875]}, {'class': 'person', 'confidence': 0.7535942196846008, 'bbox': [208.62493896484375, 139.81031799316406, 238.82272338867188, 252.00538635253906]}, {'class': 'suitcase', 'confidence': 0.30975502729415894, 'bbox': [237.4171905517578, 202.08773803710938, 272.44305419921875, 249.1892547607422]}]",dataset/segmented_action_swap/sample_000409_deadlifting_to_punching person (boxing)_oyN6ldlYUD8_32_42_bg_Cs-CfeLNspE_126_136/bbox_img/bbox_image.jpg
/n/fs/visualai-scr/Data/HAT2/seg/shooting goal (soccer)/1anZ-z6XnlU_000005_000015,/n/fs/visualai-scr/Data/HAT2/original/shooting goal (soccer)/1anZ-z6XnlU_000005_000015,/n/fs/visualai-scr/Data/HAT2/inpaint/drinking/ecFPS0Ayhh0_000044_000054,/n/fs/visualai-scr/Data/HAT2/original/drinking/ecFPS0Ayhh0_000044_000054,300,300,shooting goal (soccer),drinking,1anZ-z6XnlU,5,15,ecFPS0Ayhh0,44,54,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/sample_000410_shooting goal (soccer)_to_drinking_1anZ-z6XnlU_000005_000015_bg_ecFPS0Ayhh0_000044_000054,True,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/segmented_action_swap/sample_000410_shooting goal (soccer)_to_drinking_1anZ-z6XnlU_5_15_bg_ecFPS0Ayhh0_44_54,"[{'class': 'person', 'confidence': 0.8002490401268005, 'bbox': [23.905670166015625, 62.01905822753906, 61.95395278930664, 184.1076202392578]}, {'class': 'person', 'confidence': 0.35495269298553467, 'bbox': [0.5242881774902344, 30.126365661621094, 197.0087890625, 359.0439758300781]}]",dataset/segmented_action_swap/sample_000410_shooting goal (soccer)_to_drinking_1anZ-z6XnlU_5_15_bg_ecFPS0Ayhh0_44_54/bbox_img/bbox_image.jpg
/n/fs/visualai-scr/Data/HAT2/seg/playing trumpet/3f9VlqbXH2I_000114_000124,/n/fs/visualai-scr/Data/HAT2/original/playing trumpet/3f9VlqbXH2I_000114_000124,/n/fs/visualai-scr/Data/HAT2/inpaint/juggling balls/Ag0HsiBioRI_000042_000052,/n/fs/visualai-scr/Data/HAT2/original/juggling balls/Ag0HsiBioRI_000042_000052,160,300,playing trumpet,juggling balls,3f9VlqbXH2I,114,124,Ag0HsiBioRI,42,52,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/sample_000411_playing trumpet_to_juggling balls_3f9VlqbXH2I_000114_000124_bg_Ag0HsiBioRI_000042_000052,True,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/segmented_action_swap/sample_000411_playing trumpet_to_juggling balls_3f9VlqbXH2I_114_124_bg_Ag0HsiBioRI_42_52,"[{'class': 'person', 'confidence': 0.906927227973938, 'bbox': [279.9836120605469, 2.47125244140625, 1041.74169921875, 707.056396484375]}]",dataset/segmented_action_swap/sample_000411_playing trumpet_to_juggling balls_3f9VlqbXH2I_114_124_bg_Ag0HsiBioRI_42_52/bbox_img/bbox_image.jpg
/n/fs/visualai-scr/Data/HAT2/seg/clean and jerk/7mRMQ-Ao1NE_000019_000029,/n/fs/visualai-scr/Data/HAT2/original/clean and jerk/7mRMQ-Ao1NE_000019_000029,/n/fs/visualai-scr/Data/HAT2/inpaint/surfing water/jDTfMSxMSjQ_000112_000122,/n/fs/visualai-scr/Data/HAT2/original/surfing water/jDTfMSxMSjQ_000112_000122,300,300,clean and jerk,surfing water,7mRMQ-Ao1NE,19,29,jDTfMSxMSjQ,112,122,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/sample_000412_clean and jerk_to_surfing water_7mRMQ-Ao1NE_000019_000029_bg_jDTfMSxMSjQ_000112_000122,True,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/segmented_action_swap/sample_000412_clean and jerk_to_surfing water_7mRMQ-Ao1NE_19_29_bg_jDTfMSxMSjQ_112_122,"[{'class': 'person', 'confidence': 0.8158935308456421, 'bbox': [187.75436401367188, 154.4968719482422, 300.49285888671875, 338.1755676269531]}, {'class': 'person', 'confidence': 0.7159301042556763, 'bbox': [412.73614501953125, 139.5628662109375, 469.38323974609375, 282.7593994140625]}, {'class': 'person', 'confidence': 0.6891802549362183, 'bbox': [352.1847839355469, 165.9138946533203, 412.702392578125, 280.99310302734375]}, {'class': 'person', 'confidence': 0.6208306550979614, 'bbox': [287.84173583984375, 153.84872436523438, 363.51812744140625, 298.48675537109375]}, {'class': 'person', 'confidence': 0.4899851083755493, 'bbox': [296.1864013671875, 154.65505981445312, 363.44921875, 267.425048828125]}, {'class': 'person', 'confidence': 0.3531917929649353, 'bbox': [228.60470581054688, 149.78671264648438, 274.9281921386719, 193.4512939453125]}]",dataset/segmented_action_swap/sample_000412_clean and jerk_to_surfing water_7mRMQ-Ao1NE_19_29_bg_jDTfMSxMSjQ_112_122/bbox_img/bbox_image.jpg
/n/fs/visualai-scr/Data/HAT2/seg/climbing ladder/lJKMnpXzkWk_000004_000014,/n/fs/visualai-scr/Data/HAT2/original/climbing ladder/lJKMnpXzkWk_000004_000014,/n/fs/visualai-scr/Data/HAT2/inpaint/playing tennis/rZehb8BQwc4_000034_000044,/n/fs/visualai-scr/Data/HAT2/original/playing tennis/rZehb8BQwc4_000034_000044,300,300,climbing ladder,playing tennis,lJKMnpXzkWk,4,14,rZehb8BQwc4,34,44,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/sample_000413_climbing ladder_to_playing tennis_lJKMnpXzkWk_000004_000014_bg_rZehb8BQwc4_000034_000044,True,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/segmented_action_swap/sample_000413_climbing ladder_to_playing tennis_lJKMnpXzkWk_4_14_bg_rZehb8BQwc4_34_44,"[{'class': 'person', 'confidence': 0.5110230445861816, 'bbox': [197.65139770507812, 107.23721313476562, 240.84625244140625, 236.04318237304688]}]",dataset/segmented_action_swap/sample_000413_climbing ladder_to_playing tennis_lJKMnpXzkWk_4_14_bg_rZehb8BQwc4_34_44/bbox_img/bbox_image.jpg
/n/fs/visualai-scr/Data/HAT2/seg/dribbling basketball/wCTJ9bKn_sI_000180_000190,/n/fs/visualai-scr/Data/HAT2/original/dribbling basketball/wCTJ9bKn_sI_000180_000190,/n/fs/visualai-scr/Data/HAT2/inpaint/canoeing or kayaking/YLuft2I6YYc_000092_000102,/n/fs/visualai-scr/Data/HAT2/original/canoeing or kayaking/YLuft2I6YYc_000092_000102,300,300,dribbling basketball,canoeing or kayaking,wCTJ9bKn_sI,180,190,YLuft2I6YYc,92,102,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/sample_000414_dribbling basketball_to_canoeing or kayaking_wCTJ9bKn_sI_000180_000190_bg_YLuft2I6YYc_000092_000102,True,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/segmented_action_swap/sample_000414_dribbling basketball_to_canoeing or kayaking_wCTJ9bKn_sI_180_190_bg_YLuft2I6YYc_92_102,"[{'class': 'person', 'confidence': 0.9108775854110718, 'bbox': [623.42431640625, 178.5277099609375, 818.768310546875, 493.27734375]}, {'class': 'surfboard', 'confidence': 0.5666804313659668, 'bbox': [114.7227783203125, 408.7213134765625, 388.2931213378906, 713.1978759765625]}, {'class': 'boat', 'confidence': 0.3468555808067322, 'bbox': [177.82838439941406, 158.47068786621094, 653.499267578125, 421.8895263671875]}]",dataset/segmented_action_swap/sample_000414_dribbling basketball_to_canoeing or kayaking_wCTJ9bKn_sI_180_190_bg_YLuft2I6YYc_92_102/bbox_img/bbox_image.jpg
/n/fs/visualai-scr/Data/HAT2/seg/playing guitar/2gBacDt9k0Y_000026_000036,/n/fs/visualai-scr/Data/HAT2/original/playing guitar/2gBacDt9k0Y_000026_000036,/n/fs/visualai-scr/Data/HAT2/inpaint/walking the dog/dtLHwWANdAo_000045_000055,/n/fs/visualai-scr/Data/HAT2/original/walking the dog/dtLHwWANdAo_000045_000055,300,200,playing guitar,walking the dog,2gBacDt9k0Y,26,36,dtLHwWANdAo,45,55,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/sample_000415_playing guitar_to_walking the dog_2gBacDt9k0Y_000026_000036_bg_dtLHwWANdAo_000045_000055,True,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/segmented_action_swap/sample_000415_playing guitar_to_walking the dog_2gBacDt9k0Y_26_36_bg_dtLHwWANdAo_45_55,"[{'class': 'person', 'confidence': 0.7742229104042053, 'bbox': [203.55264282226562, 1.24102783203125, 1001.5789794921875, 710.3734741210938]}]",dataset/segmented_action_swap/sample_000415_playing guitar_to_walking the dog_2gBacDt9k0Y_26_36_bg_dtLHwWANdAo_45_55/bbox_img/bbox_image.jpg
/n/fs/visualai-scr/Data/HAT2/seg/hitting baseball/Atzrde5uGcM_000001_000011,/n/fs/visualai-scr/Data/HAT2/original/hitting baseball/Atzrde5uGcM_000001_000011,/n/fs/visualai-scr/Data/HAT2/inpaint/dunking basketball/qeDi7i1XXhM_000068_000078,/n/fs/visualai-scr/Data/HAT2/original/dunking basketball/qeDi7i1XXhM_000068_000078,301,289,hitting baseball,dunking basketball,Atzrde5uGcM,1,11,qeDi7i1XXhM,68,78,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/sample_000416_hitting baseball_to_dunking basketball_Atzrde5uGcM_000001_000011_bg_qeDi7i1XXhM_000068_000078,True,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/segmented_action_swap/sample_000416_hitting baseball_to_dunking basketball_Atzrde5uGcM_1_11_bg_qeDi7i1XXhM_68_78,"[{'class': 'sports ball', 'confidence': 0.8707836270332336, 'bbox': [202.49786376953125, 128.6562042236328, 233.1707763671875, 161.24827575683594]}, {'class': 'person', 'confidence': 0.8652548789978027, 'bbox': [316.2437744140625, 84.81352996826172, 378.4652099609375, 254.0368194580078]}, {'class': 'person', 'confidence': 0.5531585812568665, 'bbox': [453.163330078125, 48.350196838378906, 471.6720886230469, 94.74349975585938]}, {'class': 'person', 'confidence': 0.5092319250106812, 'bbox': [161.5613250732422, 31.41134262084961, 199.05548095703125, 113.84098815917969]}, {'class': 'person', 'confidence': 0.27802884578704834, 'bbox': [69.80258178710938, 63.084754943847656, 85.44815063476562, 124.3235092163086]}, {'class': 'person', 'confidence': 0.2713622748851776, 'bbox': [421.3746643066406, 57.807838439941406, 434.4211120605469, 98.39845275878906]}]",dataset/segmented_action_swap/sample_000416_hitting baseball_to_dunking basketball_Atzrde5uGcM_1_11_bg_qeDi7i1XXhM_68_78/bbox_img/bbox_image.jpg
/n/fs/visualai-scr/Data/HAT2/seg/playing saxophone/osE7Tz4k_gc_000197_000207,/n/fs/visualai-scr/Data/HAT2/original/playing saxophone/osE7Tz4k_gc_000197_000207,/n/fs/visualai-scr/Data/HAT2/inpaint/skiing (not slalom or crosscountry)/-P56BlJO-gw_000051_000061,/n/fs/visualai-scr/Data/HAT2/original/skiing (not slalom or crosscountry)/-P56BlJO-gw_000051_000061,302,300,playing saxophone,skiing (not slalom or crosscountry),osE7Tz4k_gc,197,207,-P56BlJO-gw,51,61,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/sample_000417_playing saxophone_to_skiing (not slalom or crosscountry)_osE7Tz4k_gc_000197_000207_bg_-P56BlJO-gw_000051_000061,True,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/segmented_action_swap/sample_000417_playing saxophone_to_skiing (not slalom or crosscountry)_osE7Tz4k_gc_197_207_bg_-P56BlJO-gw_51_61,"[{'class': 'person', 'confidence': 0.6394930481910706, 'bbox': [0.795867919921875, 33.674346923828125, 238.10763549804688, 318.84771728515625]}]",dataset/segmented_action_swap/sample_000417_playing saxophone_to_skiing (not slalom or crosscountry)_osE7Tz4k_gc_197_207_bg_-P56BlJO-gw_51_61/bbox_img/bbox_image.jpg
/n/fs/visualai-scr/Data/HAT2/seg/catching or throwing frisbee/5w7-2_KAP2k_000006_000016,/n/fs/visualai-scr/Data/HAT2/original/catching or throwing frisbee/5w7-2_KAP2k_000006_000016,/n/fs/visualai-scr/Data/HAT2/inpaint/punching person (boxing)/YGyUq_eiXO4_000097_000107,/n/fs/visualai-scr/Data/HAT2/original/punching person (boxing)/YGyUq_eiXO4_000097_000107,300,300,catching or throwing frisbee,punching person (boxing),5w7-2_KAP2k,6,16,YGyUq_eiXO4,97,107,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/sample_000419_catching or throwing frisbee_to_punching person (boxing)_5w7-2_KAP2k_000006_000016_bg_YGyUq_eiXO4_000097_000107,True,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/segmented_action_swap/sample_000419_catching or throwing frisbee_to_punching person (boxing)_5w7-2_KAP2k_6_16_bg_YGyUq_eiXO4_97_107,"[{'class': 'person', 'confidence': 0.6832668781280518, 'bbox': [192.00357055664062, 293.4228515625, 392.4363098144531, 682.068359375]}]",dataset/segmented_action_swap/sample_000419_catching or throwing frisbee_to_punching person (boxing)_5w7-2_KAP2k_6_16_bg_YGyUq_eiXO4_97_107/bbox_img/bbox_image.jpg
/n/fs/visualai-scr/Data/HAT2/seg/skiing slalom/4p4eqetk4R8_000045_000055,/n/fs/visualai-scr/Data/HAT2/original/skiing slalom/4p4eqetk4R8_000045_000055,/n/fs/visualai-scr/Data/HAT2/inpaint/surfing water/CZtMKdIWUdM_000775_000785,/n/fs/visualai-scr/Data/HAT2/original/surfing water/CZtMKdIWUdM_000775_000785,300,300,skiing slalom,surfing water,4p4eqetk4R8,45,55,CZtMKdIWUdM,775,785,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/sample_000420_skiing slalom_to_surfing water_4p4eqetk4R8_000045_000055_bg_CZtMKdIWUdM_000775_000785,True,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/segmented_action_swap/sample_000420_skiing slalom_to_surfing water_4p4eqetk4R8_45_55_bg_CZtMKdIWUdM_775_785,"[{'class': 'person', 'confidence': 0.9095001220703125, 'bbox': [570.796875, 386.6900329589844, 741.5791015625, 596.6905517578125]}, {'class': 'person', 'confidence': 0.3635656535625458, 'bbox': [271.9578857421875, 442.58636474609375, 284.723388671875, 466.21685791015625]}]",dataset/segmented_action_swap/sample_000420_skiing slalom_to_surfing water_4p4eqetk4R8_45_55_bg_CZtMKdIWUdM_775_785/bbox_img/bbox_image.jpg
/n/fs/visualai-scr/Data/HAT2/seg/climbing ladder/hRd8KYvz87o_000032_000042,/n/fs/visualai-scr/Data/HAT2/original/climbing ladder/hRd8KYvz87o_000032_000042,/n/fs/visualai-scr/Data/HAT2/inpaint/writing/upsu2XoqoFM_000053_000063,/n/fs/visualai-scr/Data/HAT2/original/writing/upsu2XoqoFM_000053_000063,300,300,climbing ladder,writing,hRd8KYvz87o,32,42,upsu2XoqoFM,53,63,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/sample_000422_climbing ladder_to_writing_hRd8KYvz87o_000032_000042_bg_upsu2XoqoFM_000053_000063,True,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/segmented_action_swap/sample_000422_climbing ladder_to_writing_hRd8KYvz87o_32_42_bg_upsu2XoqoFM_53_63,"[{'class': 'person', 'confidence': 0.9096651077270508, 'bbox': [160.6748809814453, 79.09182739257812, 318.4324951171875, 358.56805419921875]}]",dataset/segmented_action_swap/sample_000422_climbing ladder_to_writing_hRd8KYvz87o_32_42_bg_upsu2XoqoFM_53_63/bbox_img/bbox_image.jpg
/n/fs/visualai-scr/Data/HAT2/seg/playing accordion/fK4kD8fXswE_000037_000047,/n/fs/visualai-scr/Data/HAT2/original/playing accordion/fK4kD8fXswE_000037_000047,/n/fs/visualai-scr/Data/HAT2/inpaint/writing/puP8W1zcQx0_000194_000204,/n/fs/visualai-scr/Data/HAT2/original/writing/puP8W1zcQx0_000194_000204,289,300,playing accordion,writing,fK4kD8fXswE,37,47,puP8W1zcQx0,194,204,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/sample_000423_playing accordion_to_writing_fK4kD8fXswE_000037_000047_bg_puP8W1zcQx0_000194_000204,True,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/segmented_action_swap/sample_000423_playing accordion_to_writing_fK4kD8fXswE_37_47_bg_puP8W1zcQx0_194_204,"[{'class': 'person', 'confidence': 0.8625264763832092, 'bbox': [166.04225158691406, 33.768333435058594, 357.9842529296875, 356.35491943359375]}]",dataset/segmented_action_swap/sample_000423_playing accordion_to_writing_fK4kD8fXswE_37_47_bg_puP8W1zcQx0_194_204/bbox_img/bbox_image.jpg
/n/fs/visualai-scr/Data/HAT2/seg/playing saxophone/tAQ57N-P4Uc_000021_000031,/n/fs/visualai-scr/Data/HAT2/original/playing saxophone/tAQ57N-P4Uc_000021_000031,/n/fs/visualai-scr/Data/HAT2/inpaint/writing/RYsaQFpGX54_000091_000101,/n/fs/visualai-scr/Data/HAT2/original/writing/RYsaQFpGX54_000091_000101,300,300,playing saxophone,writing,tAQ57N-P4Uc,21,31,RYsaQFpGX54,91,101,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/sample_000424_playing saxophone_to_writing_tAQ57N-P4Uc_000021_000031_bg_RYsaQFpGX54_000091_000101,True,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/segmented_action_swap/sample_000424_playing saxophone_to_writing_tAQ57N-P4Uc_21_31_bg_RYsaQFpGX54_91_101,"[{'class': 'person', 'confidence': 0.921772301197052, 'bbox': [83.6824951171875, 0.08095550537109375, 339.16082763671875, 359.80438232421875]}, {'class': 'skateboard', 'confidence': 0.8186224102973938, 'bbox': [129.7386932373047, 128.11766052246094, 271.60516357421875, 360.0]}]",dataset/segmented_action_swap/sample_000424_playing saxophone_to_writing_tAQ57N-P4Uc_21_31_bg_RYsaQFpGX54_91_101/bbox_img/bbox_image.jpg
/n/fs/visualai-scr/Data/HAT2/seg/deadlifting/tAlGxratIzc_000000_000010,/n/fs/visualai-scr/Data/HAT2/original/deadlifting/tAlGxratIzc_000000_000010,/n/fs/visualai-scr/Data/HAT2/inpaint/playing bass guitar/3AKiMufDtCI_000060_000070,/n/fs/visualai-scr/Data/HAT2/original/playing bass guitar/3AKiMufDtCI_000060_000070,300,300,deadlifting,playing bass guitar,tAlGxratIzc,0,10,3AKiMufDtCI,60,70,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/sample_000425_deadlifting_to_playing bass guitar_tAlGxratIzc_000000_000010_bg_3AKiMufDtCI_000060_000070,True,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/segmented_action_swap/sample_000425_deadlifting_to_playing bass guitar_tAlGxratIzc_0_10_bg_3AKiMufDtCI_60_70,"[{'class': 'person', 'confidence': 0.8878474235534668, 'bbox': [422.4708251953125, 314.3076171875, 746.790771484375, 696.2550048828125]}, {'class': 'person', 'confidence': 0.6679104566574097, 'bbox': [1068.761962890625, 121.109619140625, 1279.391845703125, 714.2244873046875]}, {'class': 'dog', 'confidence': 0.2548927664756775, 'bbox': [1204.80810546875, 124.10888671875, 1279.52734375, 420.5152587890625]}]",dataset/segmented_action_swap/sample_000425_deadlifting_to_playing bass guitar_tAlGxratIzc_0_10_bg_3AKiMufDtCI_60_70/bbox_img/bbox_image.jpg
/n/fs/visualai-scr/Data/HAT2/seg/playing guitar/TdtqFhru4mA_000060_000070,/n/fs/visualai-scr/Data/HAT2/original/playing guitar/TdtqFhru4mA_000060_000070,/n/fs/visualai-scr/Data/HAT2/inpaint/juggling soccer ball/cVCLApgzN58_000009_000019,/n/fs/visualai-scr/Data/HAT2/original/juggling soccer ball/cVCLApgzN58_000009_000019,300,303,playing guitar,juggling soccer ball,TdtqFhru4mA,60,70,cVCLApgzN58,9,19,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/sample_000426_playing guitar_to_juggling soccer ball_TdtqFhru4mA_000060_000070_bg_cVCLApgzN58_000009_000019,True,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/segmented_action_swap/sample_000426_playing guitar_to_juggling soccer ball_TdtqFhru4mA_60_70_bg_cVCLApgzN58_9_19,"[{'class': 'person', 'confidence': 0.7579401135444641, 'bbox': [24.62367057800293, 5.735757350921631, 258.31024169921875, 286.5124816894531]}, {'class': 'sports ball', 'confidence': 0.7473203539848328, 'bbox': [93.9811782836914, 157.17434692382812, 116.89517211914062, 181.3973846435547]}]",dataset/segmented_action_swap/sample_000426_playing guitar_to_juggling soccer ball_TdtqFhru4mA_60_70_bg_cVCLApgzN58_9_19/bbox_img/bbox_image.jpg
/n/fs/visualai-scr/Data/HAT2/seg/brushing teeth/0tlGOxUQ0Kw_000074_000084,/n/fs/visualai-scr/Data/HAT2/original/brushing teeth/0tlGOxUQ0Kw_000074_000084,/n/fs/visualai-scr/Data/HAT2/inpaint/cleaning windows/jIwEkMWm-mQ_000009_000019,/n/fs/visualai-scr/Data/HAT2/original/cleaning windows/jIwEkMWm-mQ_000009_000019,300,300,brushing teeth,cleaning windows,0tlGOxUQ0Kw,74,84,jIwEkMWm-mQ,9,19,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/sample_000427_brushing teeth_to_cleaning windows_0tlGOxUQ0Kw_000074_000084_bg_jIwEkMWm-mQ_000009_000019,True,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/segmented_action_swap/sample_000427_brushing teeth_to_cleaning windows_0tlGOxUQ0Kw_74_84_bg_jIwEkMWm-mQ_9_19,"[{'class': 'person', 'confidence': 0.786207377910614, 'bbox': [129.11683654785156, 7.522087097167969, 466.93341064453125, 360.0]}]",dataset/segmented_action_swap/sample_000427_brushing teeth_to_cleaning windows_0tlGOxUQ0Kw_74_84_bg_jIwEkMWm-mQ_9_19/bbox_img/bbox_image.jpg
