label,youtube_id,time_start,time_end,full_path,num_files,hasPerson,segmented_path,mask_path,bboxes_info,bbox_vis_path
cleaning windows,pzBu82HpbFY,292,302,/n/fs/visualai-scr/Data/Kinetics_cvf/frames/train/cleaning windows/pzBu82HpbFY_000292_000302,300,True,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/minikinetics50/new_segmented_minikinetics50_train/cleaning windows/pzBu82HpbFY_000292_000302,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/minikinetics50/new_binarymasks_minikinetics50_train/cleaning windows/pzBu82HpbFY_000292_000302,"[{'class': 'person', 'confidence': 0.5752888917922974, 'bbox': [74.96040344238281, 196.2270050048828, 138.08724975585938, 400.51373291015625]}, {'class': 'person', 'confidence': 0.5344516038894653, 'bbox': [75.05909729003906, 196.25558471679688, 169.48712158203125, 400.9339294433594]}, {'class': 'person', 'confidence': 0.307079941034317, 'bbox': [125.61116027832031, 252.72216796875, 173.4749298095703, 399.14178466796875]}, {'class': 'handbag', 'confidence': 0.27507951855659485, 'bbox': [84.77104187011719, 219.84521484375, 147.26048278808594, 311.2940979003906]}]",/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/minikinetics50/new_segmented_minikinetics50_train/cleaning windows/pzBu82HpbFY_000292_000302/bbox_img/bbox_image.jpg
reading book,q0xfkrKLjmA,175,185,/n/fs/visualai-scr/Data/Kinetics_cvf/frames/train/reading book/q0xfkrKLjmA_000175_000185,300,True,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/minikinetics50/new_segmented_minikinetics50_train/reading book/q0xfkrKLjmA_000175_000185,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/minikinetics50/new_binarymasks_minikinetics50_train/reading book/q0xfkrKLjmA_000175_000185,"[{'class': 'person', 'confidence': 0.8772647380828857, 'bbox': [381.0423278808594, 0.7895708084106445, 455.7850646972656, 139.5751495361328]}, {'class': 'person', 'confidence': 0.7574810981750488, 'bbox': [156.89305114746094, 59.07072448730469, 241.36599731445312, 192.37977600097656]}, {'class': 'person', 'confidence': 0.5102947354316711, 'bbox': [303.8847961425781, 54.811279296875, 331.93804931640625, 89.26993560791016]}, {'class': 'person', 'confidence': 0.48056021332740784, 'bbox': [64.67330932617188, 61.45527648925781, 193.9217529296875, 252.6040496826172]}, {'class': 'person', 'confidence': 0.3682060241699219, 'bbox': [301.1576232910156, 53.14344024658203, 387.6020812988281, 162.2412567138672]}, {'class': 'person', 'confidence': 0.33441048860549927, 'bbox': [103.25494384765625, 17.72658920288086, 182.4981231689453, 194.80764770507812]}, {'class': 'person', 'confidence': 0.3159602880477905, 'bbox': [286.4588317871094, 53.528968811035156, 333.87890625, 137.69985961914062]}, {'class': 'chair', 'confidence': 0.2975902259349823, 'bbox': [41.024497985839844, 167.9511260986328, 80.0999755859375, 232.60806274414062]}, {'class': 'person', 'confidence': 0.2918280065059662, 'bbox': [26.06795883178711, 47.51192855834961, 442.6614990234375, 252.8843994140625]}, {'class': 'person', 'confidence': 0.27569353580474854, 'bbox': [63.273250579833984, 59.98961639404297, 274.7000427246094, 252.94432067871094]}]",/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/minikinetics50/new_segmented_minikinetics50_train/reading book/q0xfkrKLjmA_000175_000185/bbox_img/bbox_image.jpg
playing guitar,q5oyx8__cG0,5,15,/n/fs/visualai-scr/Data/Kinetics_cvf/frames/train/playing guitar/q5oyx8__cG0_000005_000015,300,True,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/minikinetics50/new_segmented_minikinetics50_train/playing guitar/q5oyx8__cG0_000005_000015,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/minikinetics50/new_binarymasks_minikinetics50_train/playing guitar/q5oyx8__cG0_000005_000015,"[{'class': 'person', 'confidence': 0.5495889186859131, 'bbox': [63.93704605102539, 1.775944471359253, 440.832275390625, 249.4199981689453]}, {'class': 'motorcycle', 'confidence': 0.35914942622184753, 'bbox': [42.39457321166992, 33.73568344116211, 455.14068603515625, 252.40931701660156]}]",/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/minikinetics50/new_segmented_minikinetics50_train/playing guitar/q5oyx8__cG0_000005_000015/bbox_img/bbox_image.jpg
dribbling basketball,q8FyqmBNIoo,1,11,/n/fs/visualai-scr/Data/Kinetics_cvf/frames/train/dribbling basketball/q8FyqmBNIoo_000001_000011,176,True,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/minikinetics50/new_segmented_minikinetics50_train/dribbling basketball/q8FyqmBNIoo_000001_000011,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/minikinetics50/new_binarymasks_minikinetics50_train/dribbling basketball/q8FyqmBNIoo_000001_000011,"[{'class': 'person', 'confidence': 0.3555088937282562, 'bbox': [92.87422180175781, 92.83859252929688, 222.47845458984375, 403.50494384765625]}, {'class': 'person', 'confidence': 0.27178817987442017, 'bbox': [0.5800690650939941, 77.95915985107422, 234.90771484375, 452.55731201171875]}]",/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/minikinetics50/new_segmented_minikinetics50_train/dribbling basketball/q8FyqmBNIoo_000001_000011/bbox_img/bbox_image.jpg
brushing teeth,qBcCkGzRt08,39,49,/n/fs/visualai-scr/Data/Kinetics_cvf/frames/train/brushing teeth/qBcCkGzRt08_000039_000049,167,True,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/minikinetics50/new_segmented_minikinetics50_train/brushing teeth/qBcCkGzRt08_000039_000049,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/minikinetics50/new_binarymasks_minikinetics50_train/brushing teeth/qBcCkGzRt08_000039_000049,"[{'class': 'chair', 'confidence': 0.8251591920852661, 'bbox': [72.8095932006836, 213.73226928710938, 166.6996612548828, 341.1524658203125]}, {'class': 'person', 'confidence': 0.5005230903625488, 'bbox': [56.562721252441406, 231.7688446044922, 255.53292846679688, 451.2832946777344]}, {'class': 'person', 'confidence': 0.48763298988342285, 'bbox': [31.57044219970703, 178.89212036132812, 83.17027282714844, 362.3879089355469]}, {'class': 'dog', 'confidence': 0.35513731837272644, 'bbox': [88.49272918701172, 153.2453155517578, 255.98106384277344, 449.140869140625]}, {'class': 'dog', 'confidence': 0.29782921075820923, 'bbox': [147.16250610351562, 151.7052459716797, 244.76734924316406, 305.1662902832031]}]",/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/minikinetics50/new_segmented_minikinetics50_train/brushing teeth/qBcCkGzRt08_000039_000049/bbox_img/bbox_image.jpg
brushing teeth,qERy65uRwpI,34,44,/n/fs/visualai-scr/Data/Kinetics_cvf/frames/train/brushing teeth/qERy65uRwpI_000034_000044,300,True,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/minikinetics50/new_segmented_minikinetics50_train/brushing teeth/qERy65uRwpI_000034_000044,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/minikinetics50/new_binarymasks_minikinetics50_train/brushing teeth/qERy65uRwpI_000034_000044,"[{'class': 'person', 'confidence': 0.8264412879943848, 'bbox': [228.33502197265625, 54.416011810302734, 455.9289245605469, 253.29367065429688]}, {'class': 'person', 'confidence': 0.6448342800140381, 'bbox': [51.513858795166016, 165.1754913330078, 172.93936157226562, 254.4242401123047]}, {'class': 'tv', 'confidence': 0.25334325432777405, 'bbox': [450.5639953613281, 64.7010269165039, 455.83026123046875, 121.38587951660156]}]",/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/minikinetics50/new_segmented_minikinetics50_train/brushing teeth/qERy65uRwpI_000034_000044/bbox_img/bbox_image.jpg
archery,qIdV9ncH2lM,399,409,/n/fs/visualai-scr/Data/Kinetics_cvf/frames/train/archery/qIdV9ncH2lM_000399_000409,300,True,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/minikinetics50/new_segmented_minikinetics50_train/archery/qIdV9ncH2lM_000399_000409,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/minikinetics50/new_binarymasks_minikinetics50_train/archery/qIdV9ncH2lM_000399_000409,"[{'class': 'person', 'confidence': 0.8964453935623169, 'bbox': [246.86032104492188, 85.32454681396484, 431.8742980957031, 253.0989532470703]}]",/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/minikinetics50/new_segmented_minikinetics50_train/archery/qIdV9ncH2lM_000399_000409/bbox_img/bbox_image.jpg
playing guitar,qJI0GT7ys6s,178,188,/n/fs/visualai-scr/Data/Kinetics_cvf/frames/train/playing guitar/qJI0GT7ys6s_000178_000188,299,True,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/minikinetics50/new_segmented_minikinetics50_train/playing guitar/qJI0GT7ys6s_000178_000188,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/minikinetics50/new_binarymasks_minikinetics50_train/playing guitar/qJI0GT7ys6s_000178_000188,"[{'class': 'person', 'confidence': 0.580315113067627, 'bbox': [7.0804362297058105, 1.8397842645645142, 289.4040222167969, 248.77098083496094]}]",/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/minikinetics50/new_segmented_minikinetics50_train/playing guitar/qJI0GT7ys6s_000178_000188/bbox_img/bbox_image.jpg
clean and jerk,qM64ti_aFIU,9,19,/n/fs/visualai-scr/Data/Kinetics_cvf/frames/train/clean and jerk/qM64ti_aFIU_000009_000019,295,True,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/minikinetics50/new_segmented_minikinetics50_train/clean and jerk/qM64ti_aFIU_000009_000019,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/minikinetics50/new_binarymasks_minikinetics50_train/clean and jerk/qM64ti_aFIU_000009_000019,"[{'class': 'person', 'confidence': 0.9191416501998901, 'bbox': [314.9215087890625, 84.4658432006836, 453.1885986328125, 254.04331970214844]}, {'class': 'person', 'confidence': 0.8959257006645203, 'bbox': [191.02490234375, 65.1609115600586, 247.45199584960938, 190.8394012451172]}, {'class': 'person', 'confidence': 0.856954038143158, 'bbox': [258.6864929199219, 110.14777374267578, 296.99102783203125, 169.66502380371094]}, {'class': 'person', 'confidence': 0.681985080242157, 'bbox': [51.14992141723633, 104.08087921142578, 87.98859405517578, 148.2955322265625]}, {'class': 'traffic light', 'confidence': 0.5635595321655273, 'bbox': [160.17269897460938, 69.60775756835938, 173.18443298339844, 102.56416320800781]}, {'class': 'handbag', 'confidence': 0.5266727805137634, 'bbox': [365.6707458496094, 167.56161499023438, 455.8152160644531, 253.62094116210938]}, {'class': 'horse', 'confidence': 0.47727248072624207, 'bbox': [1.3597577810287476, 143.06431579589844, 118.79202270507812, 253.3891143798828]}, {'class': 'handbag', 'confidence': 0.46543920040130615, 'bbox': [72.02983093261719, 216.3934326171875, 102.6763916015625, 256.0]}, {'class': 'person', 'confidence': 0.4392853379249573, 'bbox': [1.3767287731170654, 143.55581665039062, 119.10321807861328, 253.85086059570312]}, {'class': 'backpack', 'confidence': 0.2890983819961548, 'bbox': [367.9795227050781, 169.459228515625, 455.8831787109375, 252.1140594482422]}, {'class': 'person', 'confidence': 0.25193139910697937, 'bbox': [0.0, 85.62627410888672, 20.89957618713379, 122.54837799072266]}]",/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/minikinetics50/new_segmented_minikinetics50_train/clean and jerk/qM64ti_aFIU_000009_000019/bbox_img/bbox_image.jpg
brushing teeth,qObw5ZbDJGU,43,53,/n/fs/visualai-scr/Data/Kinetics_cvf/frames/train/brushing teeth/qObw5ZbDJGU_000043_000053,300,True,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/minikinetics50/new_segmented_minikinetics50_train/brushing teeth/qObw5ZbDJGU_000043_000053,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/minikinetics50/new_binarymasks_minikinetics50_train/brushing teeth/qObw5ZbDJGU_000043_000053,"[{'class': 'person', 'confidence': 0.8716058731079102, 'bbox': [27.465909957885742, 0.12390690296888351, 334.5652770996094, 251.35044860839844]}]",/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/minikinetics50/new_segmented_minikinetics50_train/brushing teeth/qObw5ZbDJGU_000043_000053/bbox_img/bbox_image.jpg
reading newspaper,qP8ZOqzGWns,0,10,/n/fs/visualai-scr/Data/Kinetics_cvf/frames/train/reading newspaper/qP8ZOqzGWns_000000_000010,299,True,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/minikinetics50/new_segmented_minikinetics50_train/reading newspaper/qP8ZOqzGWns_000000_000010,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/minikinetics50/new_binarymasks_minikinetics50_train/reading newspaper/qP8ZOqzGWns_000000_000010,"[{'class': 'person', 'confidence': 0.8419793248176575, 'bbox': [221.9258270263672, 1.2715106010437012, 431.3883056640625, 252.18450927734375]}, {'class': 'bowl', 'confidence': 0.3575723469257355, 'bbox': [33.130184173583984, 193.7725067138672, 153.2483367919922, 228.4834442138672]}, {'class': 'dining table', 'confidence': 0.25782310962677, 'bbox': [0.6513782143592834, 190.92835998535156, 202.3699951171875, 252.5032501220703]}]",/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/minikinetics50/new_segmented_minikinetics50_train/reading newspaper/qP8ZOqzGWns_000000_000010/bbox_img/bbox_image.jpg
hurdling,qRERfDIPWPI,4,14,/n/fs/visualai-scr/Data/Kinetics_cvf/frames/train/hurdling/qRERfDIPWPI_000004_000014,300,True,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/minikinetics50/new_segmented_minikinetics50_train/hurdling/qRERfDIPWPI_000004_000014,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/minikinetics50/new_binarymasks_minikinetics50_train/hurdling/qRERfDIPWPI_000004_000014,"[{'class': 'person', 'confidence': 0.580116868019104, 'bbox': [57.834346771240234, 43.86808395385742, 87.65709686279297, 120.65853118896484]}, {'class': 'person', 'confidence': 0.5589110255241394, 'bbox': [77.95513153076172, 45.94766616821289, 121.47398376464844, 120.61044311523438]}, {'class': 'person', 'confidence': 0.49000468850135803, 'bbox': [111.49083709716797, 35.49410629272461, 148.9981689453125, 122.4789047241211]}, {'class': 'person', 'confidence': 0.45716169476509094, 'bbox': [232.01341247558594, 41.66063690185547, 261.5098876953125, 121.81576538085938]}, {'class': 'person', 'confidence': 0.4531632959842682, 'bbox': [144.32772827148438, 40.071292877197266, 182.0549774169922, 124.04730987548828]}, {'class': 'person', 'confidence': 0.41540801525115967, 'bbox': [299.1506042480469, 47.81772232055664, 340.1689758300781, 121.15589904785156]}, {'class': 'person', 'confidence': 0.4086264371871948, 'bbox': [173.04360961914062, 74.91193389892578, 214.89694213867188, 121.32716369628906]}, {'class': 'person', 'confidence': 0.3952188491821289, 'bbox': [265.2113952636719, 35.47184753417969, 306.2317199707031, 136.7574920654297]}, {'class': 'person', 'confidence': 0.33191564679145813, 'bbox': [74.14310455322266, 45.96104431152344, 124.6217269897461, 169.5587615966797]}, {'class': 'person', 'confidence': 0.31517294049263, 'bbox': [172.4637451171875, 26.81896209716797, 228.0504913330078, 120.84701538085938]}, {'class': 'person', 'confidence': 0.2893492579460144, 'bbox': [23.79932403564453, 30.939098358154297, 57.48443603515625, 119.83452606201172]}, {'class': 'person', 'confidence': 0.2718256413936615, 'bbox': [1.5075570344924927, 37.900428771972656, 37.534759521484375, 120.10782623291016]}]",/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/minikinetics50/new_segmented_minikinetics50_train/hurdling/qRERfDIPWPI_000004_000014/bbox_img/bbox_image.jpg
playing guitar,qSRDbwKT3II,241,251,/n/fs/visualai-scr/Data/Kinetics_cvf/frames/train/playing guitar/qSRDbwKT3II_000241_000251,300,True,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/minikinetics50/new_segmented_minikinetics50_train/playing guitar/qSRDbwKT3II_000241_000251,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/minikinetics50/new_binarymasks_minikinetics50_train/playing guitar/qSRDbwKT3II_000241_000251,"[{'class': 'person', 'confidence': 0.8419817686080933, 'bbox': [2.255655527114868, 0.0, 392.9276428222656, 251.79098510742188]}, {'class': 'cup', 'confidence': 0.32853320240974426, 'bbox': [151.62603759765625, 105.2907485961914, 169.38438415527344, 140.80880737304688]}]",/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/minikinetics50/new_segmented_minikinetics50_train/playing guitar/qSRDbwKT3II_000241_000251/bbox_img/bbox_image.jpg
reading book,qSrD4qAKvm4,94,104,/n/fs/visualai-scr/Data/Kinetics_cvf/frames/train/reading book/qSrD4qAKvm4_000094_000104,300,True,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/minikinetics50/new_segmented_minikinetics50_train/reading book/qSrD4qAKvm4_000094_000104,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/minikinetics50/new_binarymasks_minikinetics50_train/reading book/qSrD4qAKvm4_000094_000104,"[{'class': 'person', 'confidence': 0.9039310812950134, 'bbox': [2.9528958797454834, 114.45098114013672, 256.0, 449.90008544921875]}]",/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/minikinetics50/new_segmented_minikinetics50_train/reading book/qSrD4qAKvm4_000094_000104/bbox_img/bbox_image.jpg
