action_swap_path,frame_num,label_A,label_B,predicted_label,predicted_score,human_action_rank,human_action_score,background_action_rank,background_action_score,human_top1,human_top5,background_top1,background_top5,background_wins,ranking_gap,score_gap,top10_predictions
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000040_playing piano_to_eating cake_4mQP7S4EGwg_000020_000030_bg_IRppx8kfVlA_000006_000016,50,playing piano,eating cake,cleaning windows,0.6585052609443665,2,0.05328485369682312,33,0.002195924986153841,False,True,False,False,False,31,-0.05108892871066928,"['cleaning windows', 'playing piano', 'brushing teeth', 'reading newspaper', 'smoking', 'playing saxophone', 'playing accordion', 'playing violin', 'playing guitar', 'sweeping floor']"
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000044_shooting basketball_to_archery_xvU1Zt_P97Q_000066_000076_bg_oZ0QUyB18Zg_000178_000188,50,shooting basketball,archery,shooting goal (soccer),0.3895125687122345,8,0.012549768202006817,2,0.298140287399292,False,False,False,True,True,-6,0.2855905191972852,"['shooting goal (soccer)', 'archery', 'juggling soccer ball', 'juggling balls', 'catching or throwing frisbee', 'hitting baseball', 'catching or throwing baseball', 'shooting basketball', 'sword fighting', 'skipping rope']"
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000048_eating cake_to_brushing teeth_4EZs8ShkVEk_000092_000102_bg_4LjTObjauus_000022_000032,50,eating cake,brushing teeth,brushing teeth,0.4046047031879425,32,0.0005467020091600716,1,0.4046047031879425,False,False,True,True,True,-31,0.40405800117878243,"['brushing teeth', 'brushing hair', 'opening bottle', 'cleaning windows', 'surfing water', 'tying tie', 'sweeping floor', 'climbing a rope', 'dunking basketball', 'drinking']"
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000052_reading newspaper_to_sweeping floor_-8oPwToqArE_000001_000011_bg_n5ZHSJRZl1U_000002_000012,50,reading newspaper,sweeping floor,opening bottle,0.47910094261169434,21,0.0041351960971951485,4,0.044428132474422455,False,False,False,True,True,-17,0.040292936377227306,"['opening bottle', 'juggling soccer ball', 'juggling balls', 'sweeping floor', 'cleaning windows', 'climbing a rope', 'shooting goal (soccer)', 'flying kite', 'climbing ladder', 'clean and jerk']"
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000056_playing saxophone_to_dribbling basketball_f8cq1C_NRKc_000076_000086_bg_P9lotgUhYQc_000022_000032,50,playing saxophone,dribbling basketball,dribbling basketball,0.6176853179931641,13,0.00039556235424242914,1,0.6176853179931641,False,False,True,True,True,-12,0.6172897556389216,"['dribbling basketball', 'shooting basketball', 'playing basketball', 'dunking basketball', 'shooting goal (soccer)', 'juggling soccer ball', 'juggling balls', 'skipping rope', 'sweeping floor', 'playing volleyball']"
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000060_shooting basketball_to_dunking basketball_jnTuUuETpSs_000002_000012_bg_N8L8j0RTFdg_000025_000035,50,shooting basketball,dunking basketball,juggling soccer ball,0.24265341460704803,6,0.09627632051706314,3,0.16400253772735596,False,False,False,True,True,-3,0.06772621721029282,"['juggling soccer ball', 'playing basketball', 'dunking basketball', 'dribbling basketball', 'juggling balls', 'shooting basketball', 'punching person (boxing)', 'skipping rope', 'playing volleyball', 'sweeping floor']"
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000064_smoking_to_juggling balls_3vCRLo5dtNY_000149_000159_bg_1cIrRGn5mmQ_000303_000313,50,smoking,juggling balls,writing,0.1805092692375183,2,0.08473525941371918,7,0.03717765212059021,False,True,False,False,False,5,-0.04755760729312897,"['writing', 'smoking', 'walking the dog', 'playing accordion', 'cleaning windows', 'eating ice cream', 'juggling balls', 'reading book', 'reading newspaper', 'drinking']"
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000068_smoking_to_reading newspaper_LJLymFbDnmk_000155_000165_bg_26N2XO29YU8_000006_000016,50,smoking,reading newspaper,eating cake,0.4459408223628998,9,0.015265222638845444,29,0.0012543657794594765,False,False,False,False,False,20,-0.014010856859385967,"['eating cake', 'juggling balls', 'opening bottle', 'eating ice cream', 'juggling soccer ball', 'tying tie', 'playing accordion', 'drinking', 'smoking', 'dribbling basketball']"
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000072_sword fighting_to_playing volleyball_U3bcWXDWICY_000077_000087_bg_ZXvgHRz92h4_000056_000066,50,sword fighting,playing volleyball,dribbling basketball,0.3866284191608429,20,0.0003041067684534937,11,0.004279990214854479,False,False,False,False,True,-9,0.003975883446400985,"['dribbling basketball', 'playing basketball', 'shooting basketball', 'dunking basketball', 'skipping rope', 'shooting goal (soccer)', 'playing tennis', 'juggling soccer ball', 'juggling balls', 'sweeping floor']"
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000076_playing accordion_to_climbing a rope_2GhcqTJoEaI_000017_000027_bg_C8_aYXTrthw_000050_000060,50,playing accordion,climbing a rope,climbing ladder,0.6485368609428406,16,0.0034026834182441235,2,0.0784011110663414,False,False,False,True,True,-14,0.07499842764809728,"['climbing ladder', 'climbing a rope', 'juggling soccer ball', 'dunking basketball', 'cleaning windows', 'juggling balls', 'sword fighting', 'skipping rope', 'shooting goal (soccer)', 'clean and jerk']"
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000080_canoeing or kayaking_to_driving car_Fhj3gXyUukk_000330_000340_bg_8yRWHKGwKk4_000002_000012,50,canoeing or kayaking,driving car,driving car,0.36391565203666687,6,0.03995472565293312,1,0.36391565203666687,False,False,True,True,True,-5,0.32396092638373375,"['driving car', 'walking the dog', 'hurdling', 'playing accordion', 'golf driving', 'canoeing or kayaking', 'eating ice cream', 'cleaning windows', 'climbing ladder', 'skiing slalom']"
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000084_punching person (boxing)_to_drinking_JosqyNGpXfs_000208_000218_bg_gaj407eSdSs_000000_000010,50,punching person (boxing),drinking,sword fighting,0.2777342200279236,5,0.0535445511341095,14,0.01472628302872181,False,True,False,False,False,9,-0.03881826810538769,"['sword fighting', 'surfing water', 'dunking basketball', 'playing accordion', 'punching person (boxing)', 'brushing hair', 'brushing teeth', 'playing piano', 'playing basketball', 'playing trumpet']"
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000088_catching or throwing baseball_to_juggling soccer ball_-LZ6lnyP0BQ_000102_000112_bg_yTs5t9Jas6E_000045_000055,50,catching or throwing baseball,juggling soccer ball,juggling soccer ball,0.13374701142311096,9,0.03853670135140419,1,0.13374701142311096,False,False,True,True,True,-8,0.09521031007170677,"['juggling soccer ball', 'juggling balls', 'shooting goal (soccer)', 'sword fighting', 'hitting baseball', 'shooting basketball', 'playing basketball', 'dunking basketball', 'catching or throwing baseball', 'opening bottle']"
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000092_dunking basketball_to_playing accordion_Bl28qY8T6NA_000045_000055_bg_2GhcqTJoEaI_000017_000027,50,dunking basketball,playing accordion,playing accordion,0.17769035696983337,16,0.014347262680530548,1,0.17769035696983337,False,False,True,True,True,-15,0.16334309428930283,"['playing accordion', 'juggling soccer ball', 'skipping rope', 'playing violin', 'playing trumpet', 'dribbling basketball', 'punching person (boxing)', 'playing basketball', 'juggling balls', 'clean and jerk']"
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000096_brushing hair_to_sweeping floor_aXPsBVPYG_I_000029_000039_bg_6s3LjZShb00_000003_000013,50,brushing hair,sweeping floor,smoking,0.18565478920936584,6,0.04387137293815613,2,0.08403000235557556,False,False,False,True,True,-4,0.040158629417419434,"['smoking', 'sweeping floor', 'punching person (boxing)', 'eating cake', 'sword fighting', 'brushing hair', 'playing violin', 'deadlifting', 'brushing teeth', 'eating ice cream']"
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000100_playing basketball_to_playing trumpet_swuIzEjpmak_000340_000350_bg_7mpX78LIkVM_000045_000055,50,playing basketball,playing trumpet,bowling,0.2832218408584595,2,0.2142336219549179,24,0.0003051258099731058,False,True,False,False,False,22,-0.2139284961449448,"['bowling', 'playing basketball', 'shooting basketball', 'dunking basketball', 'playing volleyball', 'dribbling basketball', 'hurdling', 'shooting goal (soccer)', 'clean and jerk', 'juggling balls']"
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000104_playing accordion_to_climbing a rope_UBvJD2xjtvY_000000_000010_bg_M0BedpP3Ya4_000017_000027,50,playing accordion,climbing a rope,cleaning windows,0.16194459795951843,19,0.004848702810704708,6,0.07730937749147415,False,False,False,False,True,-13,0.07246067468076944,"['cleaning windows', 'archery', 'playing violin', 'playing trumpet', 'sword fighting', 'climbing a rope', 'juggling balls', 'juggling soccer ball', 'punching person (boxing)', 'skipping rope']"
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000108_playing accordion_to_sweeping floor_OtUxN7tXEXU_000049_000059_bg_8ddV4PIuIBs_000082_000092,50,playing accordion,sweeping floor,juggling balls,0.3098137676715851,14,0.009620267897844315,12,0.014337875880300999,False,False,False,False,True,-2,0.004717607982456684,"['juggling balls', 'juggling soccer ball', 'skipping rope', 'sword fighting', 'opening bottle', 'shooting goal (soccer)', 'climbing a rope', 'punching person (boxing)', 'clean and jerk', 'climbing ladder']"
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000112_punching person (boxing)_to_playing trumpet_cuoqBzkii1Q_000094_000104_bg_is8kacH7dUg_000022_000032,50,punching person (boxing),playing trumpet,brushing hair,0.19237840175628662,4,0.14367175102233887,11,0.004566945601254702,False,True,False,False,False,7,-0.13910480542108417,"['brushing hair', 'drinking', 'opening bottle', 'punching person (boxing)', 'brushing teeth', 'eating ice cream', 'eating cake', 'smoking', 'tying tie', 'sword fighting']"
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000116_tying tie_to_juggling balls_C15qK3MFWLk_000001_000011_bg_iO6MiUbydaY_000064_000074,50,tying tie,juggling balls,tying tie,0.9944760203361511,1,0.9944760203361511,2,0.0009864193852990866,True,True,False,True,False,1,-0.993489600950852,"['tying tie', 'juggling balls', 'playing accordion', 'juggling soccer ball', 'writing', 'opening bottle', 'playing piano', 'playing saxophone', 'brushing teeth', 'playing violin']"
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000120_surfing water_to_smoking_3tKrqlMI8ZU_000053_000063_bg_SrIotBfD6BY_000001_000011,50,surfing water,smoking,cleaning windows,0.8323342204093933,33,0.0008007048163563013,10,0.007064326200634241,False,False,False,False,True,-23,0.00626362138427794,"['cleaning windows', 'climbing ladder', 'catching or throwing baseball', 'shooting goal (soccer)', 'hitting baseball', 'juggling soccer ball', 'shooting basketball', 'dunking basketball', 'flying kite', 'smoking']"
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000124_climbing ladder_to_archery_n5Fr76ZUlrM_000004_000014_bg_pWOl7B7jf0U_000000_000010,50,climbing ladder,archery,golf driving,0.5160532593727112,11,0.010926649905741215,13,0.00964155700057745,False,False,False,False,False,2,-0.001285092905163765,"['golf driving', 'juggling soccer ball', 'climbing a rope', 'hitting baseball', 'catching or throwing frisbee', 'walking the dog', 'shooting goal (soccer)', 'catching or throwing baseball', 'juggling balls', 'driving car']"
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000128_opening bottle_to_juggling soccer ball_GoFJb86v1pg_000000_000010_bg_44oF-GJ3JYQ_000011_000021,50,opening bottle,juggling soccer ball,juggling balls,0.24532973766326904,27,0.003144558286294341,2,0.17564824223518372,False,False,False,True,True,-25,0.17250368394888937,"['juggling balls', 'juggling soccer ball', 'skipping rope', 'dribbling basketball', 'cleaning windows', 'climbing a rope', 'playing basketball', 'driving car', 'flying kite', 'punching person (boxing)']"
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000132_shooting goal (soccer)_to_opening bottle_JCwEbNqgn2k_000042_000052_bg_b2KnqbubIB8_000055_000065,50,shooting goal (soccer),opening bottle,punching person (boxing),0.3334346115589142,14,0.008912787772715092,27,0.0017544295405969024,False,False,False,False,False,13,-0.007158358232118189,"['punching person (boxing)', 'skipping rope', 'juggling soccer ball', 'juggling balls', 'climbing a rope', 'walking the dog', 'catching or throwing frisbee', 'sword fighting', 'climbing ladder', 'playing basketball']"
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000136_smoking_to_playing guitar_QJrRlSn2rV0_000101_000111_bg_MrSMr3S3lE0_000090_000100,50,smoking,playing guitar,playing guitar,0.4468480050563812,13,0.013886676169931889,1,0.4468480050563812,False,False,True,True,True,-12,0.43296132888644934,"['playing guitar', 'playing accordion', 'playing bass guitar', 'playing piano', 'playing saxophone', 'opening bottle', 'juggling soccer ball', 'juggling balls', 'brushing hair', 'playing violin']"
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000140_reading newspaper_to_reading book_mAdH0EhOdPI_000002_000012_bg_gSXPZXHgzhU_000000_000010,50,reading newspaper,reading book,playing violin,0.3689694106578827,5,0.03700249642133713,11,0.006258884910494089,False,True,False,False,False,6,-0.03074361151084304,"['playing violin', 'playing piano', 'playing guitar', 'playing accordion', 'reading newspaper', 'playing trumpet', 'playing saxophone', 'writing', 'brushing teeth', 'playing bass guitar']"
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000144_smoking_to_opening bottle_YIlr1ABiWzY_001171_001181_bg_ENwDLQTkIlQ_000001_000011,50,smoking,opening bottle,climbing a rope,0.13775955140590668,5,0.07331469655036926,2,0.133403018116951,False,True,False,True,True,-3,0.060088321566581726,"['climbing a rope', 'opening bottle', 'drinking', 'cleaning windows', 'smoking', 'juggling balls', 'climbing ladder', 'playing trumpet', 'walking the dog', 'hitting baseball']"
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000148_bowling_to_playing violin_5P0Szq9VDYg_000021_000031_bg_-wk1qN0k9VQ_000021_000031,50,bowling,playing violin,climbing a rope,0.19319039583206177,46,0.0004244724113959819,33,0.002645996632054448,False,False,False,False,True,-13,0.0022215242206584662,"['climbing a rope', 'sword fighting', 'punching person (boxing)', 'opening bottle', 'cleaning windows', 'playing accordion', 'juggling balls', 'juggling soccer ball', 'dunking basketball', 'hitting baseball']"
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000152_playing basketball_to_opening bottle_O1dribmMv-E_000070_000080_bg_vXQX5XQfySY_000004_000014,50,playing basketball,opening bottle,punching person (boxing),0.2280488908290863,14,0.011987541802227497,8,0.023572757840156555,False,False,False,False,True,-6,0.011585216037929058,"['punching person (boxing)', 'playing piano', 'dunking basketball', 'hurdling', 'playing accordion', 'writing', 'dribbling basketball', 'opening bottle', 'playing saxophone', 'climbing ladder']"
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000156_playing volleyball_to_canoeing or kayaking_R7ClKLBfjuk_000042_000052_bg_jZNpH-jzWKw_000002_000012,50,playing volleyball,canoeing or kayaking,surfing water,0.8434528708457947,3,0.021973539143800735,14,0.002427214989438653,False,True,False,False,False,11,-0.019546324154362082,"['surfing water', 'skiing slalom', 'playing volleyball', 'catching or throwing frisbee', 'skiing (not slalom or crosscountry)', 'flying kite', 'dribbling basketball', 'skipping rope', 'dunking basketball', 'juggling soccer ball']"
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000160_clean and jerk_to_surfing water_B98EOBpM5YQ_000017_000027_bg_yF3kyTjZuz4_000000_000010,50,clean and jerk,surfing water,shooting goal (soccer),0.11571298539638519,29,0.005941436160355806,12,0.03074527531862259,False,False,False,False,True,-17,0.024803839158266783,"['shooting goal (soccer)', 'juggling soccer ball', 'climbing a rope', 'juggling balls', 'climbing ladder', 'golf driving', 'smoking', 'playing basketball', 'shooting basketball', 'dunking basketball']"
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000164_surfing water_to_opening bottle_3tYvVpbcUmc_000000_000010_bg_sWMpkT9siSw_000021_000031,50,surfing water,opening bottle,skipping rope,0.20971545577049255,7,0.037106964737176895,29,0.0027679402846843004,False,False,False,False,False,22,-0.034339024452492595,"['skipping rope', 'dribbling basketball', 'dunking basketball', 'playing basketball', 'climbing ladder', 'climbing a rope', 'surfing water', 'juggling soccer ball', 'shooting goal (soccer)', 'juggling balls']"
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000168_skipping rope_to_dribbling basketball_38o0cPpR0Eo_000052_000062_bg_DBc7EM2OeaA_000020_000030,50,skipping rope,dribbling basketball,dribbling basketball,0.8276519179344177,8,0.0028427995275706053,1,0.8276519179344177,False,False,True,True,True,-7,0.8248091184068471,"['dribbling basketball', 'playing basketball', 'shooting basketball', 'dunking basketball', 'juggling balls', 'juggling soccer ball', 'shooting goal (soccer)', 'skipping rope', 'catching or throwing frisbee', 'playing volleyball']"
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000172_skiing (not slalom or crosscountry)_to_sweeping floor_RTPV8oTyvvA_000143_000153_bg_351SpPbC1Rs_000001_000011,50,skiing (not slalom or crosscountry),sweeping floor,juggling soccer ball,0.24491533637046814,40,0.00037338590482249856,2,0.1392119824886322,False,False,False,True,True,-38,0.1388385965838097,"['juggling soccer ball', 'sweeping floor', 'skipping rope', 'playing volleyball', 'playing basketball', 'cleaning windows', 'climbing a rope', 'juggling balls', 'shooting goal (soccer)', 'dunking basketball']"
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000176_playing volleyball_to_eating ice cream_Djgz_dNVPjA_000069_000079_bg_6sT8P_kRhfw_000037_000047,50,playing volleyball,eating ice cream,surfing water,0.461023211479187,45,0.000739897252060473,29,0.004063950851559639,False,False,False,False,True,-16,0.003324053599499166,"['surfing water', 'sword fighting', 'canoeing or kayaking', 'skiing slalom', 'flying kite', 'walking the dog', 'hurdling', 'drinking', 'archery', 'climbing a rope']"
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000180_brushing teeth_to_punching person (boxing)_D9BXyKzfhGA_000000_000010_bg_jpjRqIqSX2U_000688_000698,50,brushing teeth,punching person (boxing),punching person (boxing),0.9404410123825073,49,9.092812547351059e-07,1,0.9404410123825073,False,False,True,True,True,-48,0.9404401031012526,"['punching person (boxing)', 'climbing a rope', 'climbing ladder', 'skipping rope', 'opening bottle', 'hurdling', 'juggling balls', 'shooting goal (soccer)', 'sweeping floor', 'juggling soccer ball']"
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000184_catching or throwing frisbee_to_walking the dog_VhikQMUP_Ak_000013_000023_bg_3NlgmP6MDmY_000021_000031,50,catching or throwing frisbee,walking the dog,catching or throwing frisbee,0.29276740550994873,1,0.29276740550994873,4,0.086887888610363,True,True,False,True,False,3,-0.20587951689958572,"['catching or throwing frisbee', 'playing volleyball', 'juggling soccer ball', 'walking the dog', 'juggling balls', 'flying kite', 'climbing a rope', 'skipping rope', 'dribbling basketball', 'sword fighting']"
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000188_playing saxophone_to_shooting goal (soccer)_XuLVYAKjJGc_000063_000073_bg_xTNPOVOi764_000139_000149,50,playing saxophone,shooting goal (soccer),juggling soccer ball,0.6078709959983826,9,0.0036590099334716797,4,0.05082583799958229,False,False,False,True,True,-5,0.04716682806611061,"['juggling soccer ball', 'tying tie', 'juggling balls', 'shooting goal (soccer)', 'skipping rope', 'dribbling basketball', 'catching or throwing frisbee', 'playing accordion', 'playing saxophone', 'playing trumpet']"
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000192_eating cake_to_drinking_M8YUAdP_nSo_000039_000049_bg_PkxtlwDr4AU_000073_000083,50,eating cake,drinking,playing accordion,0.16041551530361176,3,0.08409273624420166,11,0.04170076176524162,False,True,False,False,False,8,-0.04239197447896004,"['playing accordion', 'punching person (boxing)', 'eating cake', 'deadlifting', 'juggling soccer ball', 'opening bottle', 'skipping rope', 'juggling balls', 'bowling', 'clean and jerk']"
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000196_driving car_to_juggling balls_LD_H3ST6TOc_000022_000032_bg__vh9Zw1Ore4_000000_000010,50,driving car,juggling balls,writing,0.15246114134788513,38,0.004924768581986427,3,0.07103583216667175,False,False,False,True,True,-35,0.06611106358468533,"['writing', 'punching person (boxing)', 'juggling balls', 'playing accordion', 'hitting baseball', 'shooting basketball', 'juggling soccer ball', 'dribbling basketball', 'reading book', 'deadlifting']"
