label,youtube_id,full_path,num_files,time_start,time_end
playing guitar,s3dK8R-jzac,/n/fs/visualai-scr/Data/HAT2/seg/playing guitar/s3dK8R-jzac_000031_000041,300,31,41
playing guitar,ViKaRM7aoy4,/n/fs/visualai-scr/Data/HAT2/seg/playing guitar/ViKaRM7aoy4_000262_000272,300,262,272
playing guitar,meMLnQoTKB8,/n/fs/visualai-scr/Data/HAT2/seg/playing guitar/meMLnQoTKB8_000137_000147,300,137,147
playing guitar,0b7wPe49W-4,/n/fs/visualai-scr/Data/HAT2/seg/playing guitar/0b7wPe49W-4_000266_000276,262,266,276
playing guitar,Y8KzfKSlTuo,/n/fs/visualai-scr/Data/HAT2/seg/playing guitar/Y8KzfKSlTuo_000023_000033,300,23,33
playing guitar,MrSMr3S3lE0,/n/fs/visualai-scr/Data/HAT2/seg/playing guitar/MrSMr3S3lE0_000090_000100,300,90,100
playing guitar,YVbwgdIAi68,/n/fs/visualai-scr/Data/HAT2/seg/playing guitar/YVbwgdIAi68_000038_000048,300,38,48
playing guitar,k4ixAfJ1LuI,/n/fs/visualai-scr/Data/HAT2/seg/playing guitar/k4ixAfJ1LuI_000214_000224,300,214,224
playing guitar,7oUvm4e9oQ8,/n/fs/visualai-scr/Data/HAT2/seg/playing guitar/7oUvm4e9oQ8_000279_000289,300,279,289
playing guitar,LVIm4618JSI,/n/fs/visualai-scr/Data/HAT2/seg/playing guitar/LVIm4618JSI_000077_000087,302,77,87
playing guitar,-KBf8XXQVXM,/n/fs/visualai-scr/Data/HAT2/seg/playing guitar/-KBf8XXQVXM_000026_000036,300,26,36
playing guitar,PWk72vKZQNU,/n/fs/visualai-scr/Data/HAT2/seg/playing guitar/PWk72vKZQNU_000071_000081,300,71,81
playing guitar,yKjJHObLUws,/n/fs/visualai-scr/Data/HAT2/seg/playing guitar/yKjJHObLUws_000003_000013,300,3,13
playing guitar,WCyove7hRPc,/n/fs/visualai-scr/Data/HAT2/seg/playing guitar/WCyove7hRPc_000024_000034,300,24,34
playing guitar,udWm9sdOD2M,/n/fs/visualai-scr/Data/HAT2/seg/playing guitar/udWm9sdOD2M_000013_000023,300,13,23
playing guitar,zdD3sBNWwiY,/n/fs/visualai-scr/Data/HAT2/seg/playing guitar/zdD3sBNWwiY_000159_000169,300,159,169
playing guitar,XN68IGmQcis,/n/fs/visualai-scr/Data/HAT2/seg/playing guitar/XN68IGmQcis_000094_000104,300,94,104
playing guitar,iYN1pUvPy1s,/n/fs/visualai-scr/Data/HAT2/seg/playing guitar/iYN1pUvPy1s_000012_000022,300,12,22
playing guitar,qH1dW6YUeUo,/n/fs/visualai-scr/Data/HAT2/seg/playing guitar/qH1dW6YUeUo_000273_000283,300,273,283
playing guitar,H9XWa152whU,/n/fs/visualai-scr/Data/HAT2/seg/playing guitar/H9XWa152whU_000333_000343,300,333,343
playing guitar,PHINYJrKnw8,/n/fs/visualai-scr/Data/HAT2/seg/playing guitar/PHINYJrKnw8_000405_000415,300,405,415
playing guitar,qpVl8NjKRdM,/n/fs/visualai-scr/Data/HAT2/seg/playing guitar/qpVl8NjKRdM_000000_000010,300,0,10
playing guitar,mhzWCdClkAI,/n/fs/visualai-scr/Data/HAT2/seg/playing guitar/mhzWCdClkAI_000142_000152,300,142,152
playing guitar,Ot3j0CHnWtU,/n/fs/visualai-scr/Data/HAT2/seg/playing guitar/Ot3j0CHnWtU_000009_000019,300,9,19
bowling,BBN3OkI40xk,/n/fs/visualai-scr/Data/HAT2/seg/bowling/BBN3OkI40xk_000008_000018,184,8,18
bowling,YlGfbvL4vu4,/n/fs/visualai-scr/Data/HAT2/seg/bowling/YlGfbvL4vu4_000005_000015,300,5,15
bowling,_WKZbe4o8C4,/n/fs/visualai-scr/Data/HAT2/seg/bowling/_WKZbe4o8C4_000005_000015,300,5,15
bowling,ZlVNRxRSQx8,/n/fs/visualai-scr/Data/HAT2/seg/bowling/ZlVNRxRSQx8_000008_000018,300,8,18
bowling,wgdyM3dC3v4,/n/fs/visualai-scr/Data/HAT2/seg/bowling/wgdyM3dC3v4_000004_000014,300,4,14
bowling,8pBjZcOc8MY,/n/fs/visualai-scr/Data/HAT2/seg/bowling/8pBjZcOc8MY_000096_000106,300,96,106
bowling,4JxH3S5JwMs,/n/fs/visualai-scr/Data/HAT2/seg/bowling/4JxH3S5JwMs_000003_000013,300,3,13
bowling,elPyNNFZK6s,/n/fs/visualai-scr/Data/HAT2/seg/bowling/elPyNNFZK6s_000144_000154,300,144,154
bowling,IknWrGi3QzI,/n/fs/visualai-scr/Data/HAT2/seg/bowling/IknWrGi3QzI_000004_000014,184,4,14
bowling,Epp4z1hle48,/n/fs/visualai-scr/Data/HAT2/seg/bowling/Epp4z1hle48_000033_000043,300,33,43
bowling,5P0Szq9VDYg,/n/fs/visualai-scr/Data/HAT2/seg/bowling/5P0Szq9VDYg_000021_000031,300,21,31
bowling,aZu-GianKek,/n/fs/visualai-scr/Data/HAT2/seg/bowling/aZu-GianKek_000001_000011,300,1,11
bowling,-jOClYqKtE8,/n/fs/visualai-scr/Data/HAT2/seg/bowling/-jOClYqKtE8_000003_000013,300,3,13
bowling,6V6DgC9u7Y0,/n/fs/visualai-scr/Data/HAT2/seg/bowling/6V6DgC9u7Y0_000000_000010,300,0,10
bowling,mE6wwBaFaf0,/n/fs/visualai-scr/Data/HAT2/seg/bowling/mE6wwBaFaf0_000028_000038,214,28,38
bowling,SUfUbruAUbE,/n/fs/visualai-scr/Data/HAT2/seg/bowling/SUfUbruAUbE_000000_000010,300,0,10
bowling,Kv6Lgh1DRF8,/n/fs/visualai-scr/Data/HAT2/seg/bowling/Kv6Lgh1DRF8_000013_000023,300,13,23
bowling,v52Gi2rgV3w,/n/fs/visualai-scr/Data/HAT2/seg/bowling/v52Gi2rgV3w_000005_000015,170,5,15
bowling,o018kcJ4CqU,/n/fs/visualai-scr/Data/HAT2/seg/bowling/o018kcJ4CqU_000000_000010,301,0,10
bowling,M99mgKKmPqs,/n/fs/visualai-scr/Data/HAT2/seg/bowling/M99mgKKmPqs_000002_000012,300,2,12
bowling,-WH-lxmGJVY,/n/fs/visualai-scr/Data/HAT2/seg/bowling/-WH-lxmGJVY_000005_000015,300,5,15
bowling,fmBKCRz3yYk,/n/fs/visualai-scr/Data/HAT2/seg/bowling/fmBKCRz3yYk_000328_000338,300,328,338
bowling,MKv1mkOcom8,/n/fs/visualai-scr/Data/HAT2/seg/bowling/MKv1mkOcom8_000000_000010,300,0,10
bowling,EYKcpyWRtyY,/n/fs/visualai-scr/Data/HAT2/seg/bowling/EYKcpyWRtyY_000000_000010,301,0,10
bowling,V7vo_5tif-g,/n/fs/visualai-scr/Data/HAT2/seg/bowling/V7vo_5tif-g_000092_000102,232,92,102
bowling,mE4-cdQxdgM,/n/fs/visualai-scr/Data/HAT2/seg/bowling/mE4-cdQxdgM_000150_000160,300,150,160
bowling,lbS09aO_WQQ,/n/fs/visualai-scr/Data/HAT2/seg/bowling/lbS09aO_WQQ_000023_000033,301,23,33
bowling,XR6mXivdAyw,/n/fs/visualai-scr/Data/HAT2/seg/bowling/XR6mXivdAyw_000047_000057,300,47,57
bowling,PO7vXwGJ-os,/n/fs/visualai-scr/Data/HAT2/seg/bowling/PO7vXwGJ-os_000663_000673,300,663,673
bowling,DOKPjE3JJlw,/n/fs/visualai-scr/Data/HAT2/seg/bowling/DOKPjE3JJlw_000020_000030,300,20,30
bowling,5NLQMrXzCQA,/n/fs/visualai-scr/Data/HAT2/seg/bowling/5NLQMrXzCQA_000003_000013,219,3,13
bowling,emTLZPuEXqM,/n/fs/visualai-scr/Data/HAT2/seg/bowling/emTLZPuEXqM_000023_000033,300,23,33
bowling,hkMdWMBp8RA,/n/fs/visualai-scr/Data/HAT2/seg/bowling/hkMdWMBp8RA_000003_000013,179,3,13
bowling,8TiYnWFX-ow,/n/fs/visualai-scr/Data/HAT2/seg/bowling/8TiYnWFX-ow_000042_000052,300,42,52
bowling,xCwDi3Vqm0s,/n/fs/visualai-scr/Data/HAT2/seg/bowling/xCwDi3Vqm0s_000002_000012,181,2,12
bowling,eU7Ht6zJcyk,/n/fs/visualai-scr/Data/HAT2/seg/bowling/eU7Ht6zJcyk_000003_000013,142,3,13
bowling,B86jGiboZMM,/n/fs/visualai-scr/Data/HAT2/seg/bowling/B86jGiboZMM_000034_000044,301,34,44
bowling,uwpF9_eAS7I,/n/fs/visualai-scr/Data/HAT2/seg/bowling/uwpF9_eAS7I_000125_000135,300,125,135
bowling,1W7HNDBA4pA,/n/fs/visualai-scr/Data/HAT2/seg/bowling/1W7HNDBA4pA_000002_000012,271,2,12
bowling,a3C8ayqyGdg,/n/fs/visualai-scr/Data/HAT2/seg/bowling/a3C8ayqyGdg_000002_000012,210,2,12
bowling,pWPNktTWKjg,/n/fs/visualai-scr/Data/HAT2/seg/bowling/pWPNktTWKjg_000005_000015,279,5,15
bowling,jBNaXp62dDg,/n/fs/visualai-scr/Data/HAT2/seg/bowling/jBNaXp62dDg_000002_000012,146,2,12
bowling,PVJ71MCXCFU,/n/fs/visualai-scr/Data/HAT2/seg/bowling/PVJ71MCXCFU_000028_000038,300,28,38
bowling,nF64BTCr6P8,/n/fs/visualai-scr/Data/HAT2/seg/bowling/nF64BTCr6P8_000001_000011,300,1,11
bowling,--dVV4_CSvw,/n/fs/visualai-scr/Data/HAT2/seg/bowling/--dVV4_CSvw_000033_000043,300,33,43
bowling,bwlizlTA7Uk,/n/fs/visualai-scr/Data/HAT2/seg/bowling/bwlizlTA7Uk_000129_000139,222,129,139
bowling,v_j37nEGZMA,/n/fs/visualai-scr/Data/HAT2/seg/bowling/v_j37nEGZMA_000009_000019,301,9,19
bowling,5Vu8HJ__eMg,/n/fs/visualai-scr/Data/HAT2/seg/bowling/5Vu8HJ__eMg_000277_000287,300,277,287
bowling,Xr_sBDcAEao,/n/fs/visualai-scr/Data/HAT2/seg/bowling/Xr_sBDcAEao_000079_000089,181,79,89
playing saxophone,G6M0uqfvkLU,/n/fs/visualai-scr/Data/HAT2/seg/playing saxophone/G6M0uqfvkLU_000049_000059,300,49,59
playing saxophone,FQrXAPz-daQ,/n/fs/visualai-scr/Data/HAT2/seg/playing saxophone/FQrXAPz-daQ_000120_000130,300,120,130
playing saxophone,nRC40jLHx0w,/n/fs/visualai-scr/Data/HAT2/seg/playing saxophone/nRC40jLHx0w_000194_000204,300,194,204
playing saxophone,cg-WQl3YCVY,/n/fs/visualai-scr/Data/HAT2/seg/playing saxophone/cg-WQl3YCVY_000205_000215,300,205,215
playing saxophone,77bGWKIfsvk,/n/fs/visualai-scr/Data/HAT2/seg/playing saxophone/77bGWKIfsvk_000061_000071,300,61,71
playing saxophone,AWuqlrq58PY,/n/fs/visualai-scr/Data/HAT2/seg/playing saxophone/AWuqlrq58PY_000016_000026,301,16,26
playing saxophone,ymeIZj6pE-A,/n/fs/visualai-scr/Data/HAT2/seg/playing saxophone/ymeIZj6pE-A_000001_000011,300,1,11
playing saxophone,gV7ca6oVY3Y,/n/fs/visualai-scr/Data/HAT2/seg/playing saxophone/gV7ca6oVY3Y_000004_000014,300,4,14
playing saxophone,K06EmNd6t_I,/n/fs/visualai-scr/Data/HAT2/seg/playing saxophone/K06EmNd6t_I_000006_000016,300,6,16
playing saxophone,-zpKHNrNsn4,/n/fs/visualai-scr/Data/HAT2/seg/playing saxophone/-zpKHNrNsn4_000226_000236,300,226,236
playing saxophone,tAQ57N-P4Uc,/n/fs/visualai-scr/Data/HAT2/seg/playing saxophone/tAQ57N-P4Uc_000021_000031,300,21,31
playing saxophone,Y1NEWHZywDM,/n/fs/visualai-scr/Data/HAT2/seg/playing saxophone/Y1NEWHZywDM_000008_000018,300,8,18
playing saxophone,--7VUM9MKg4,/n/fs/visualai-scr/Data/HAT2/seg/playing saxophone/--7VUM9MKg4_000136_000146,233,136,146
playing saxophone,6dUY8QB2j8g,/n/fs/visualai-scr/Data/HAT2/seg/playing saxophone/6dUY8QB2j8g_000031_000041,293,31,41
playing saxophone,ZnIDviwA8CE,/n/fs/visualai-scr/Data/HAT2/seg/playing saxophone/ZnIDviwA8CE_000117_000127,300,117,127
playing saxophone,o12VFXBVhfs,/n/fs/visualai-scr/Data/HAT2/seg/playing saxophone/o12VFXBVhfs_000000_000010,300,0,10
playing saxophone,itb1211BcqI,/n/fs/visualai-scr/Data/HAT2/seg/playing saxophone/itb1211BcqI_001009_001019,300,1009,1019
playing saxophone,TpoL20ZVZE4,/n/fs/visualai-scr/Data/HAT2/seg/playing saxophone/TpoL20ZVZE4_000204_000214,300,204,214
playing saxophone,eXBaVsma73Q,/n/fs/visualai-scr/Data/HAT2/seg/playing saxophone/eXBaVsma73Q_000301_000311,300,301,311
playing saxophone,xmue_fxvlp0,/n/fs/visualai-scr/Data/HAT2/seg/playing saxophone/xmue_fxvlp0_000032_000042,177,32,42
playing saxophone,P4w8Ef14Mis,/n/fs/visualai-scr/Data/HAT2/seg/playing saxophone/P4w8Ef14Mis_000017_000027,300,17,27
playing saxophone,lmrqi-lpHkg,/n/fs/visualai-scr/Data/HAT2/seg/playing saxophone/lmrqi-lpHkg_000261_000271,301,261,271
playing saxophone,90HStc60QcM,/n/fs/visualai-scr/Data/HAT2/seg/playing saxophone/90HStc60QcM_000059_000069,300,59,69
playing saxophone,OF5cp2dLzfs,/n/fs/visualai-scr/Data/HAT2/seg/playing saxophone/OF5cp2dLzfs_000022_000032,300,22,32
playing saxophone,7MT7_Kpj3Y8,/n/fs/visualai-scr/Data/HAT2/seg/playing saxophone/7MT7_Kpj3Y8_000065_000075,300,65,75
playing saxophone,cVJpNDYeD6w,/n/fs/visualai-scr/Data/HAT2/seg/playing saxophone/cVJpNDYeD6w_000029_000039,300,29,39
playing saxophone,f8cq1C_NRKc,/n/fs/visualai-scr/Data/HAT2/seg/playing saxophone/f8cq1C_NRKc_000076_000086,300,76,86
playing saxophone,COO3QyFJ6WQ,/n/fs/visualai-scr/Data/HAT2/seg/playing saxophone/COO3QyFJ6WQ_000002_000012,249,2,12
playing saxophone,XuLVYAKjJGc,/n/fs/visualai-scr/Data/HAT2/seg/playing saxophone/XuLVYAKjJGc_000063_000073,300,63,73
playing saxophone,FnS-I1SXiVo,/n/fs/visualai-scr/Data/HAT2/seg/playing saxophone/FnS-I1SXiVo_000000_000010,300,0,10
playing saxophone,9zhbUqXWyog,/n/fs/visualai-scr/Data/HAT2/seg/playing saxophone/9zhbUqXWyog_000090_000100,300,90,100
playing saxophone,rlDGXO3KwO4,/n/fs/visualai-scr/Data/HAT2/seg/playing saxophone/rlDGXO3KwO4_000001_000011,300,1,11
playing saxophone,8xbFsL0cXDE,/n/fs/visualai-scr/Data/HAT2/seg/playing saxophone/8xbFsL0cXDE_000392_000402,300,392,402
playing saxophone,Lj3wfxExD-s,/n/fs/visualai-scr/Data/HAT2/seg/playing saxophone/Lj3wfxExD-s_000184_000194,300,184,194
playing saxophone,C9jFsikga4Y,/n/fs/visualai-scr/Data/HAT2/seg/playing saxophone/C9jFsikga4Y_000148_000158,300,148,158
playing saxophone,0bSgWa4ldr0,/n/fs/visualai-scr/Data/HAT2/seg/playing saxophone/0bSgWa4ldr0_000401_000411,300,401,411
playing saxophone,Cklo421HB2A,/n/fs/visualai-scr/Data/HAT2/seg/playing saxophone/Cklo421HB2A_000024_000034,301,24,34
playing saxophone,uukFI6uF-Uk,/n/fs/visualai-scr/Data/HAT2/seg/playing saxophone/uukFI6uF-Uk_000045_000055,300,45,55
playing saxophone,65rmeShvIxs,/n/fs/visualai-scr/Data/HAT2/seg/playing saxophone/65rmeShvIxs_000038_000048,300,38,48
playing saxophone,T2i8vZqFfLI,/n/fs/visualai-scr/Data/HAT2/seg/playing saxophone/T2i8vZqFfLI_000001_000011,300,1,11
playing saxophone,IukQi46e0_M,/n/fs/visualai-scr/Data/HAT2/seg/playing saxophone/IukQi46e0_M_000001_000011,301,1,11
playing saxophone,bt_E3Q4Z6LA,/n/fs/visualai-scr/Data/HAT2/seg/playing saxophone/bt_E3Q4Z6LA_000008_000018,300,8,18
playing saxophone,7YihjsB2CEk,/n/fs/visualai-scr/Data/HAT2/seg/playing saxophone/7YihjsB2CEk_000000_000010,300,0,10
playing saxophone,hVrvXFrYU6I,/n/fs/visualai-scr/Data/HAT2/seg/playing saxophone/hVrvXFrYU6I_000004_000014,300,4,14
playing saxophone,ydL4ZaS4BeQ,/n/fs/visualai-scr/Data/HAT2/seg/playing saxophone/ydL4ZaS4BeQ_000007_000017,300,7,17
playing saxophone,5bRseNSffik,/n/fs/visualai-scr/Data/HAT2/seg/playing saxophone/5bRseNSffik_000455_000465,300,455,465
playing saxophone,rHY2iPRm9uQ,/n/fs/visualai-scr/Data/HAT2/seg/playing saxophone/rHY2iPRm9uQ_000002_000012,300,2,12
playing saxophone,GCh5bbKJgbE,/n/fs/visualai-scr/Data/HAT2/seg/playing saxophone/GCh5bbKJgbE_000148_000158,300,148,158
playing saxophone,8vxFri3kYz4,/n/fs/visualai-scr/Data/HAT2/seg/playing saxophone/8vxFri3kYz4_000000_000010,192,0,10
playing saxophone,osE7Tz4k_gc,/n/fs/visualai-scr/Data/HAT2/seg/playing saxophone/osE7Tz4k_gc_000197_000207,302,197,207
brushing teeth,l8WyYM_CNWg,/n/fs/visualai-scr/Data/HAT2/seg/brushing teeth/l8WyYM_CNWg_000044_000054,300,44,54
brushing teeth,u5ynx8FusSA,/n/fs/visualai-scr/Data/HAT2/seg/brushing teeth/u5ynx8FusSA_000116_000126,300,116,126
brushing teeth,INNDIp9X43M,/n/fs/visualai-scr/Data/HAT2/seg/brushing teeth/INNDIp9X43M_000066_000076,300,66,76
brushing teeth,A_0bhesqVfA,/n/fs/visualai-scr/Data/HAT2/seg/brushing teeth/A_0bhesqVfA_000024_000034,300,24,34
brushing teeth,2agWm6N2260,/n/fs/visualai-scr/Data/HAT2/seg/brushing teeth/2agWm6N2260_000000_000010,300,0,10
brushing teeth,7n_E5oMpIpY,/n/fs/visualai-scr/Data/HAT2/seg/brushing teeth/7n_E5oMpIpY_000049_000059,300,49,59
brushing teeth,hMmmJgtDcmc,/n/fs/visualai-scr/Data/HAT2/seg/brushing teeth/hMmmJgtDcmc_000178_000188,300,178,188
brushing teeth,Oqj1JUUGiA4,/n/fs/visualai-scr/Data/HAT2/seg/brushing teeth/Oqj1JUUGiA4_000023_000033,300,23,33
brushing teeth,rP0r6rTPKYY,/n/fs/visualai-scr/Data/HAT2/seg/brushing teeth/rP0r6rTPKYY_000034_000044,301,34,44
brushing teeth,ZgiOm4uBZZQ,/n/fs/visualai-scr/Data/HAT2/seg/brushing teeth/ZgiOm4uBZZQ_000018_000028,300,18,28
brushing teeth,X8Tzn9cdCiA,/n/fs/visualai-scr/Data/HAT2/seg/brushing teeth/X8Tzn9cdCiA_000043_000053,300,43,53
brushing teeth,sp-JuMB3Qs0,/n/fs/visualai-scr/Data/HAT2/seg/brushing teeth/sp-JuMB3Qs0_000026_000036,300,26,36
brushing teeth,XIjNH6fbLGc,/n/fs/visualai-scr/Data/HAT2/seg/brushing teeth/XIjNH6fbLGc_000062_000072,300,62,72
brushing teeth,y1FlaXV3sQY,/n/fs/visualai-scr/Data/HAT2/seg/brushing teeth/y1FlaXV3sQY_000004_000014,300,4,14
brushing teeth,QLMiv2Sd_zI,/n/fs/visualai-scr/Data/HAT2/seg/brushing teeth/QLMiv2Sd_zI_000001_000011,300,1,11
brushing teeth,CfyiD_4zIyY,/n/fs/visualai-scr/Data/HAT2/seg/brushing teeth/CfyiD_4zIyY_000113_000123,300,113,123
brushing teeth,D9BXyKzfhGA,/n/fs/visualai-scr/Data/HAT2/seg/brushing teeth/D9BXyKzfhGA_000000_000010,189,0,10
brushing teeth,aJm8LDLH0EE,/n/fs/visualai-scr/Data/HAT2/seg/brushing teeth/aJm8LDLH0EE_000048_000058,300,48,58
brushing teeth,B-eyMbEe2-4,/n/fs/visualai-scr/Data/HAT2/seg/brushing teeth/B-eyMbEe2-4_000023_000033,212,23,33
brushing teeth,OkkhsSA7SS0,/n/fs/visualai-scr/Data/HAT2/seg/brushing teeth/OkkhsSA7SS0_000047_000057,300,47,57
brushing teeth,5G-5aOnyDwo,/n/fs/visualai-scr/Data/HAT2/seg/brushing teeth/5G-5aOnyDwo_000016_000026,300,16,26
brushing teeth,kXJ8xHHxTn8,/n/fs/visualai-scr/Data/HAT2/seg/brushing teeth/kXJ8xHHxTn8_000035_000045,600,35,45
brushing teeth,JdWRc7gtJn8,/n/fs/visualai-scr/Data/HAT2/seg/brushing teeth/JdWRc7gtJn8_000043_000053,300,43,53
brushing teeth,NoLmGisfNqg,/n/fs/visualai-scr/Data/HAT2/seg/brushing teeth/NoLmGisfNqg_000003_000013,300,3,13
brushing teeth,4LjTObjauus,/n/fs/visualai-scr/Data/HAT2/seg/brushing teeth/4LjTObjauus_000022_000032,300,22,32
brushing teeth,4S1k0vHoTw4,/n/fs/visualai-scr/Data/HAT2/seg/brushing teeth/4S1k0vHoTw4_000248_000258,301,248,258
brushing teeth,6TfE35Fh9N0,/n/fs/visualai-scr/Data/HAT2/seg/brushing teeth/6TfE35Fh9N0_000023_000033,237,23,33
brushing teeth,eS0lsiym740,/n/fs/visualai-scr/Data/HAT2/seg/brushing teeth/eS0lsiym740_000007_000017,300,7,17
brushing teeth,PbYMRhwvMik,/n/fs/visualai-scr/Data/HAT2/seg/brushing teeth/PbYMRhwvMik_000082_000092,300,82,92
brushing teeth,8NStNQyjIXI,/n/fs/visualai-scr/Data/HAT2/seg/brushing teeth/8NStNQyjIXI_000054_000064,190,54,64
brushing teeth,DIrJ-X5GLyQ,/n/fs/visualai-scr/Data/HAT2/seg/brushing teeth/DIrJ-X5GLyQ_000060_000070,300,60,70
brushing teeth,1ZkogIfJNR8,/n/fs/visualai-scr/Data/HAT2/seg/brushing teeth/1ZkogIfJNR8_000029_000039,188,29,39
brushing teeth,sMsKIEQkr70,/n/fs/visualai-scr/Data/HAT2/seg/brushing teeth/sMsKIEQkr70_000000_000010,300,0,10
brushing teeth,xVFvbPiXNVU,/n/fs/visualai-scr/Data/HAT2/seg/brushing teeth/xVFvbPiXNVU_000003_000013,300,3,13
brushing teeth,5nfCdm_Dab8,/n/fs/visualai-scr/Data/HAT2/seg/brushing teeth/5nfCdm_Dab8_000049_000059,155,49,59
brushing teeth,r95HrwQa8lk,/n/fs/visualai-scr/Data/HAT2/seg/brushing teeth/r95HrwQa8lk_000008_000018,174,8,18
brushing teeth,LO0HKBkTsFA,/n/fs/visualai-scr/Data/HAT2/seg/brushing teeth/LO0HKBkTsFA_000037_000047,300,37,47
brushing teeth,Hwuul-R9x_g,/n/fs/visualai-scr/Data/HAT2/seg/brushing teeth/Hwuul-R9x_g_000067_000077,212,67,77
brushing teeth,X9rCMmJm4KA,/n/fs/visualai-scr/Data/HAT2/seg/brushing teeth/X9rCMmJm4KA_000060_000070,300,60,70
brushing teeth,xCtFp27ilbU,/n/fs/visualai-scr/Data/HAT2/seg/brushing teeth/xCtFp27ilbU_000003_000013,300,3,13
brushing teeth,zw7ySdKK1gU,/n/fs/visualai-scr/Data/HAT2/seg/brushing teeth/zw7ySdKK1gU_000064_000074,300,64,74
brushing teeth,fwh_g5pa2Ac,/n/fs/visualai-scr/Data/HAT2/seg/brushing teeth/fwh_g5pa2Ac_000034_000044,300,34,44
brushing teeth,dQH784Wd-Dk,/n/fs/visualai-scr/Data/HAT2/seg/brushing teeth/dQH784Wd-Dk_000001_000011,301,1,11
brushing teeth,p-kbRhTdyiQ,/n/fs/visualai-scr/Data/HAT2/seg/brushing teeth/p-kbRhTdyiQ_000019_000029,300,19,29
brushing teeth,v2lhU-CtJQc,/n/fs/visualai-scr/Data/HAT2/seg/brushing teeth/v2lhU-CtJQc_000000_000010,300,0,10
brushing teeth,DwE5JAS90T8,/n/fs/visualai-scr/Data/HAT2/seg/brushing teeth/DwE5JAS90T8_000001_000011,300,1,11
