label,youtube_id,time_start,time_end,split,full_path,num_files
cleaning windows,-9QfMtbGuq0,6,16,train,/n/fs/visualai-scr/Data/Kinetics_cvf/frames/train/cleaning windows/-9QfMtbGuq0_000006_000016,301
bowling,-A3CcrEtLpM,0,10,train,/n/fs/visualai-scr/Data/Kinetics_cvf/frames/train/bowling/-A3CcrEtLpM_000000_000010,300
reading newspaper,-CFiVdQyv4E,57,67,train,/n/fs/visualai-scr/Data/Kinetics_cvf/frames/train/reading newspaper/-CFiVdQyv4E_000057_000067,300
catching or throwing frisbee,-CM30ROUHEs,4,14,train,/n/fs/visualai-scr/Data/Kinetics_cvf/frames/train/catching or throwing frisbee/-CM30ROUHEs_000004_000014,239
playing piano,-CuDMAzj4AE,62,72,train,/n/fs/visualai-scr/Data/Kinetics_cvf/frames/train/playing piano/-CuDMAzj4AE_000062_000072,185
opening bottle,-D58AHu5KFk,6,16,train,/n/fs/visualai-scr/Data/Kinetics_cvf/frames/train/opening bottle/-D58AHu5KFk_000006_000016,300
playing violin,-DCyVd5Ilyk,39,49,train,/n/fs/visualai-scr/Data/Kinetics_cvf/frames/train/playing violin/-DCyVd5Ilyk_000039_000049,300
reading book,-DsMpC5_-c4,27,37,train,/n/fs/visualai-scr/Data/Kinetics_cvf/frames/train/reading book/-DsMpC5_-c4_000027_000037,300
catching or throwing baseball,-JLmaEHB_GI,277,287,train,/n/fs/visualai-scr/Data/Kinetics_cvf/frames/train/catching or throwing baseball/-JLmaEHB_GI_000277_000287,300
writing,-Jr4hagX4fY,783,793,train,/n/fs/visualai-scr/Data/Kinetics_cvf/frames/train/writing/-Jr4hagX4fY_000783_000793,300
driving car,-KSm0RzIF-Y,30,40,train,/n/fs/visualai-scr/Data/Kinetics_cvf/frames/train/driving car/-KSm0RzIF-Y_000030_000040,300
brushing hair,-KllW3tO0xw,0,10,train,/n/fs/visualai-scr/Data/Kinetics_cvf/frames/train/brushing hair/-KllW3tO0xw_000000_000010,300
playing volleyball,-LBaYqweOLA,58,68,train,/n/fs/visualai-scr/Data/Kinetics_cvf/frames/train/playing volleyball/-LBaYqweOLA_000058_000068,300
surfing water,-MlgcPXUZs8,32,42,train,/n/fs/visualai-scr/Data/Kinetics_cvf/frames/train/surfing water/-MlgcPXUZs8_000032_000042,300
juggling soccer ball,-OvAZRMaLPo,1,11,train,/n/fs/visualai-scr/Data/Kinetics_cvf/frames/train/juggling soccer ball/-OvAZRMaLPo_000001_000011,300
sweeping floor,-PuoHDrdsSM,1,11,train,/n/fs/visualai-scr/Data/Kinetics_cvf/frames/train/sweeping floor/-PuoHDrdsSM_000001_000011,299
deadlifting,-Qc3fWKTszo,10,20,train,/n/fs/visualai-scr/Data/Kinetics_cvf/frames/train/deadlifting/-Qc3fWKTszo_000010_000020,271
juggling balls,-TmkTF2B9Lk,4,14,train,/n/fs/visualai-scr/Data/Kinetics_cvf/frames/train/juggling balls/-TmkTF2B9Lk_000004_000014,269
shooting goal (soccer),04Q2WjIUd9g,59,69,train,/n/fs/visualai-scr/Data/Kinetics_cvf/frames/train/shooting goal (soccer)/04Q2WjIUd9g_000059_000069,300
skiing slalom,0CjfN1wLpsA,295,305,train,/n/fs/visualai-scr/Data/Kinetics_cvf/frames/train/skiing slalom/0CjfN1wLpsA_000295_000305,300
